iter	RMSE
0	2910550.64
1	2849449.914
2	2793284.02
3	2745554.982
4	2704736.133
5	2670313.419
6	2639379.233
7	2620931.612
8	2602359.12
9	2585336.348
10	2569948.689
11	2552838.879
12	2534435.496
13	2527069.614
14	2521406.017
15	2511744.88
16	2504879.697
17	2497008.628
18	2489093.32
19	2478696.783
20	2474020.312
21	2466936.762
22	2462823.786
23	2457814.298
24	2451531.453
25	2446052.077
26	2444150.964
27	2438451.4
28	2437265.037
29	2429293.855
30	2426153.744
31	2424298.41
32	2418909.813
33	2415654.045
34	2414773.673
35	2411426.345
36	2407409.064
37	2405616.553
38	2403248.908
39	2399796.526
40	2392458.255
41	2391053.032
42	2386795.014
43	2383777.574
44	2380938.319
45	2379401.596
46	2375288.321
47	2371796.771
48	2366658.528
49	2365011.317
50	2363671.188
51	2360734.74
52	2359027.094
53	2357232.313
54	2356197.059
55	2354271.356
56	2353083.737
57	2351947.276
58	2349586.291
59	2347815.402
60	2347091.254
61	2345333.391
62	2339240.226
63	2336405.633
64	2335392.26
65	2331390.484
66	2326964.656
67	2325030.007
68	2323974.128
69	2321427.949
70	2319207.714
71	2318814.4
72	2317307.091
73	2316316.727
74	2315105.353
75	2313567.927
76	2312359.23
77	2311752.505
78	2310938.835
79	2307757.923
80	2305963.497
81	2304835.357
82	2303967.236
83	2302771.823
84	2302175.85
85	2299506.031
86	2294834.167
87	2293814.244
88	2290011.447
89	2289537.601
90	2288642.83
91	2285718.751
92	2285341.358
93	2281708.952
94	2279722.641
95	2278825.137
96	2278034.052
97	2276702.172
98	2275682.673
99	2273577.119
