iter	Passed	Remaining
0	6	681
1	12	594
2	18	607
3	25	616
4	32	612
5	38	598
6	44	585
7	48	562
8	55	563
9	61	550
10	66	538
11	73	536
12	78	523
13	82	504
14	87	495
15	91	482
16	95	467
17	99	453
18	104	445
19	108	435
20	112	423
21	116	412
22	120	404
23	124	395
24	128	385
25	132	376
26	136	368
27	139	359
28	143	351
29	147	343
30	151	338
31	155	331
32	159	324
33	164	318
34	168	312
35	171	305
36	175	298
37	179	292
38	182	285
39	186	279
40	189	273
41	193	266
42	197	261
43	201	256
44	205	251
45	208	245
46	213	241
47	217	236
48	221	230
49	225	225
50	229	220
51	233	215
52	236	210
53	240	204
54	244	200
55	248	195
56	252	190
57	255	185
58	259	180
59	263	175
60	267	170
61	270	165
62	274	161
63	279	157
64	283	152
65	286	147
66	290	142
67	293	138
68	297	133
69	301	129
70	304	124
71	307	119
72	311	115
73	314	110
74	318	106
75	322	101
76	326	97
77	329	93
78	333	88
79	337	84
80	340	79
81	344	75
82	347	71
83	351	66
84	354	62
85	359	58
86	362	54
87	366	49
88	370	45
89	374	41
90	377	37
91	381	33
92	384	28
93	388	24
94	393	20
95	397	16
96	401	12
97	405	8
98	410	4
99	413	0
