titre,date,genre,duree,realisateur,distributeur,acteurs,nationalites,langue_d_origine,type_film,annee_production,recompenses,description,film_id_allocine
Gran Turismo,2023-08-09,Action_Drame,134,Neill Blomkamp,Sony Pictures Releasing France,"David Harbour,Orlando Bloom,Archie Madekwe",U.S.A.,Anglais,Long-métrage,2023,,"Gran Turismo retrace l'incroyable histoire vraie d'une équipe d'outsiders : un gamer issu de la classe ouvrière, un ex-pilote de course raté et un cadre idéaliste de l’industrie du sport automobile. Ensemble, ils risquent tout et s'attaquent au sport le plus élitiste au monde.",222943
Gadar 2,2023-08-11,Action_Drame,165,Anil Sharma,Night ed films,"Sunny Deol,Ameesha Patel,Gaurav Chopra",Inde,Hindi,Long-métrage,2023,,"Pendant le conflit indo-pakistanais de 1971, Tara Singh décide de retourner au Pakistan afin de ramener son fils, Charanjeet, avec lui.",312858
Les Promesses,2023-08-09,Drame,114,Amanda Sthers,Madeleine films,"Pierfrancesco Favino,Kelly Reilly,Jean Reno",France,Anglais,Long-métrage,2021,,"La vie, en général, n’en finit pas de faire des promesses qu’elle prend plaisir, ensuite, à ne pas tenir. L’histoire d’amour inachevée entre Alexander et Laura …",291501
Zone(s) de turbulence,2023-08-09,Comédie,97,Hafsteinn Gunnar Sigurðsson,Rezo Films,"Timothy Spall,Emun Elliott,Ella Rumpf",Islande,Anglais,Long-métrage,2023,,"Sarah est une femme d’affaire basée à Londres qui souffre d’une peur incontrôlable de l’avion. Pour sauver sa nouvelle relation amoureuse, elle doit surmonter sa phobie et apprendre à lâcher prise – quitte à endurer un vol inattendu et follement imprévisible vers l’Islande…",300966
Les Avantages de voyager en train,2023-08-09,Comédie_Drame,103,Aritz Moreno,Damned Distribution,"Luis Tosar,Pilar Castro,Ernesto Alterio",Espagne,Espagnol,Long-métrage,2019,,"Helga, éditrice madrilène, vient de faire interner son mari en clinique psychiatrique. Dans le train du retour, elle fait la connaissance du Dr Angel Sanagustín qui lui fait part de ses expériences les plus fascinantes, sordides et obsédantes. Cette rencontre bouleverse Helga et la plonge dans une profonde introspection. Et ce sont bien là quelques-uns des avantages de voyager en train.",264855
24 heures à New-York,2023-08-09,Drame,82,Vuk Lungulov-Klotz,Dulac Distribution,"Lio Mehiel,Cole Doman,MiMi Ryder",U.S.A.,Anglais,Long-métrage,2023,,"Feña est un jeune homme trans qui mène une existence trépidante à New York. Au cours d’une seule journée, son père chilien, son ex-petit ami et sa demi-sœur de 13 ans refont surface dans sa vie. Ayant perdu le contact avec eux depuis sa transition, Feña va devoir réinventer ces anciennes relations, tout en gérant les défis quotidiens liés à sa nouvelle identité.",311182
Mamamoo : My Con The Movie,2023-08-10,Concert,124,Jae-kyung Lim,Pathé Live,,Corée,Coréen,Evénement spécial,2023,,,317043
Animalia,2023-08-09,Drame_Fantastique,90,Sofia Alaoui,Ad Vitam,"Oumaïma Barid,Mehdi Dehbi,Fouad Oughaou",France,Arabe,Long-métrage,2023,,"Itto, jeune marocaine d’origine modeste, s’est adaptée à l’opulence de la famille de son mari, chez qui elle vit. Alors qu’elle se réjouissait d’une journée de tranquillité sans sa belle-famille, des événements surnaturels plongent le pays dans l’état d’urgence. Des phénomènes de plus en plus inquiétants suggèrent qu’une présence mystérieuse approche. Seule, elle peine à trouver de l'aide…",311078
Jailer,2023-08-10,Action_Comédie_Policier_Thriller,170,Nelson Dilipkumar,Friday Entertainment," Rajinikanth, Mohanlal,Jackie Shroff",Inde,Tamoul,Long-métrage,2023,,Muthuvel Pandian est un geôlier strict mais empathique qui apprend qu'un gang tente de faire évader son chef de la prison. Il se met alors en tête de les arrêter.,318073
Punch-Drunk Love,2003-01-22,Comédie_Romance,95,Paul Thomas Anderson,Ciné Sorbonne,"Adam Sandler,Emily Watson,Philip Seymour Hoffman",U.S.A.,Anglais,Long-métrage,2002,,"Barry, un entrepreneur étouffé depuis tout petit par ses sept sœurs, sent un souffle nouveau lorsque la collègue d'une d'entre elles, Lena, vient à sa rencontre. Mais, au même moment, une call-girl, qu’il avait appelée pour essayer d’échapper à sa solitude, le piège. Pour la première fois, il va prendre sa vie en main.",32282
L'Eté en pente douce,1987-04-29,Drame,96,Gérard Krawczyk,Mission,"Jacques Villeret,Jean-Pierre Bacri,Pauline Lafont",France,Français,Long-métrage,1987,,,2551
Un coup de maître,2023-08-09,Comédie dramatique,95,Rémi Bezançon,Zinc Film,"Vincent Macaigne,Bouli Lanners,Bastien Ughetto",France,Français,Long-métrage,2023,,"Propriétaire d’une galerie d’art, Arthur Forestier représente Renzo Nervi, un peintre en pleine crise existentielle. Les deux hommes sont amis depuis toujours et, même si tout les oppose, l’amour de l’art les réunit. En panne d’inspiration depuis plusieurs années, Renzo sombre peu à peu dans une radicalité qui le rend ingérable. Pour le sauver, Arthur élabore un plan audacieux qui finira par les dépasser... Jusqu’où peut-on aller par amitié ?",305181
Veuillez nous excuser pour la gêne occasionnée,2023-08-09,Comédie,89,Olivier Van Hoofstadt,UGC Distribution / TF1 Studio," Artus,Elsa Zylberstein,Benjamin Tranié",France,Français,Long-métrage,2023,,"Sébastien, contrôleur de train consciencieux et professionnel, rêve d’être muté dans le sud de la France.",306157
Les Amoureux,1966-03-02,Drame_Romance,118,Mai Zetterling,Carlotta Films,"Harriet Andersson,Gunnel Lindblom,Gio Petré",Suède,Suédois,Long-métrage,1964,,"1914, Stockholm. Trois femmes sur le point d’accoucher se rendent à l’hôpital. De conditions sociales diverses, Agda, Adele et Angela se remémorent leur enfance, leurs amours déçus et leurs illusions perdues…",59476
Abdelinho,2023-08-16,Comédie_Drame,100,Hicham Ayouch,Urban Distribution,"Ali Suliman,Aderrahim Tamimi,Inês Monteiro",Maroc,Arabe,Long-métrage,2022,,"Abdelinho, de son vrai prénom Abdellah vit dans une petite ville au Maroc. Abdelinho est coincé entre une mère hystérique et un travail kafkaïen dans une administration. Sa seule échappatoire : le Brésil et son amour pour Maria, l'héroïne d'une télénovela éponyme. Cette passion est menacée par l'arrivée de l’obscur Amr Taleb, télévangéliste musulman, qui prône une sobriété bien éloignée des cours de samba donnés par Abdelinho aux femmes de sa ville.",304440
