titre,date,genre,duree,realisateur,distributeur,acteurs,nationalites,langue_d_origine,type_film,annee_production,nombre_article,description,film_id_allocine,image
Une nuit,2023-07-05,Drame,90.0,Alex Lutz,StudioCanal,"Alex Lutz,Karin Viard,Jérôme Pouly",France,Français,Long-métrage,2023,21,,305883,https://fr.web.img6.acsta.net/c_310_420/pictures/23/05/24/13/48/0544940.jpg
Yo Mama,2023-07-05,Comédie,97.0,Leïla Sy,Gaumont Distribution,"Claudia Tagbo, Zaho,Sophie-Marie Larrouy",France,Français,Long-métrage,2023,7,"Affolées par le clip de rap de leurs fils de 11 ans, trois mères de famille décident de se lancer à leur tour dans le rap avec un clip explosif dans le but de rétablir la communication au sein de leur foyer. Contre toute attente, les trois meilleures amies rencontrent un succès retentissant mais vont vite être dépassées par ce monde dont elles ignorent les codes et leur soudaine notoriété...",304854,https://fr.web.img3.acsta.net/c_310_420/pictures/23/05/25/16/11/4321337.jpg
Insidious: The Red Door,2023-07-05,Epouvante-horreur,108.0,Patrick Wilson,Sony Pictures Releasing France,"Patrick Wilson,Rose Byrne,Ty Simpkins",U.S.A.,Anglais,Long-métrage,2023,8,"Afin de se débarrasser définitivement de leurs démons, Josh et son fils Dalton, à présent étudiant, doivent plonger encore plus profondément dans le Lointain pour affronter le sombre passé de leur famille et une multitude d'esprits toujours plus inquiétants qui se cache derrière la Porte Rouge.",287593,https://fr.web.img6.acsta.net/c_310_420/pictures/23/06/29/19/16/4707167.jpg
Tout Le Monde M'appelle Mike,2023-07-05,Thriller,89.0,Guillaume Bonnier,À Vif Cinémas / The Dark,"Abdirisak Mohamed,Daphne Patakia,Pierre Lottin",France,"Français, Arabe, Somalien",Long-métrage,2023,13,"Jean, Isabelle et son fils Damien ont tout quitté pour naviguer autour du monde. Pendant une escale à Djibouti, ils rencontrent Mike, un chauffeur de taxi. Jean, inquiet au moment de reprendre la mer vers le dangereux golfe d'Aden, décide d'embarquer Mike contre l’avis d’Isabelle.",275141,https://fr.web.img3.acsta.net/c_310_420/pictures/23/06/20/10/36/2329118.jpg
Master Gardener,2023-07-05,Drame,110.0,Paul Schrader,The Jokers / Les Bookmakers,"Joel Edgerton,Sigourney Weaver,Quintessa Swindell",U.S.A.,Anglais,Long-métrage,2022,27,"Narvel est un horticulteur dévoué aux jardins de la très raffinée Mme Haverhill. Mais lorsque son employeuse l'oblige à prendre sa petite-nièce Maya comme apprentie, le chaos s’installe, révélant ainsi les sombres secrets du passé de Narvel…",296091,https://fr.web.img2.acsta.net/c_310_420/pictures/23/06/06/12/14/3873251.jpg
Marinaleda,2023-07-05,Comédie,51.0,Louis Seguin,Hippocampe Productions,"François Rivière (II),Luc Chessel,Pauline Belle",France,Français,Long-métrage,2022,4,"Juillet. Sastefanus et Kyrie font du stop sur les routes de Corrèze. Leur objectif : rejoindre Marinaleda, un village autogéré au cœur de l’Andalousie. Ils n’avancent pas beaucoup... jusqu’à ce que Lise les accueille dans sa voiture. Mais sont-ils vraiment de simples auto-stoppeurs ?",316039,https://fr.web.img6.acsta.net/c_310_420/pictures/23/05/10/10/47/5137274.jpg
Miraculous - le film,2023-07-05,Action,99.0,Jeremy Zag,SND,"Anouck Hautbois,Benjamin Bollen,Antoine Tomé",France,Français,Long-métrage,2023,415,"La super-héroïne, qui a conquis le cœur de millions de fans à travers le monde, débarque pour la première fois au cinéma ! Ladybug va devoir unir ses forces avec Chat Noir, le charismatique justicier masqué qui n’a pas sa langue dans sa poche, pour affronter le Papillon et sa horde de super-vilains, alors que ceux-ci menacent de détruire Paris. Mais, alors que les deux héros se rapprochent, Marinette ignore que derrière son mystérieux complice se cache Adrien, le camarade de classe dont elle est amoureuse…",273995,https://fr.web.img3.acsta.net/c_310_420/pictures/23/04/03/15/05/1583867.jpg
Luise,2023-07-05,Drame,99.0,Matthias Luthardt,Pyramide Distribution,"Luise Aschenbrenner,Christa Théret,Leonard Kunz",France,"Français, Allemand",Long-métrage,2023,6,"Octobre 1918. La Première Guerre mondiale s’étire. Luise, 25 ans, vit seule dans une ferme isolée en Alsace, territoire allemand depuis 50 ans. Hélène, jeune Française en fuite vers les Pays-Bas, y trouve refuge, poursuivie par un soldat allemand, Hermann, qu’elle aurait blessé pour une raison mystérieuse. Il la retrouve et s’impose dans la ferme bien que cela fasse de lui un déserteur. Luise accepte de les héberger tous les deux sans rien connaître de leur passé. Un dangereux jeu à trois se met en place...",262386,https://fr.web.img2.acsta.net/c_310_420/pictures/23/06/06/09/24/5924413.jpg
À contretemps,2023-07-05,Thriller,103.0,Juan Diego Botto,Condor Distribution,"Penélope Cruz,Luis Tosar,Christian Checa",Espagne,Espagnol,Long-métrage,2022,17,"Avocat aux fortes convictions sociales, Rafa a jusqu’à minuit pour retrouver la mère d’une fillette laissée seule dans un logement insalubre. A défaut, la police placera la petite en foyer. Dans sa course contre la montre, Rafa croise la route d’Azucena, une femme injustement menacée d’expulsion, et qui pour s’en sortir, tente de provoquer une révolte citoyenne. Alors que les heures défilent implacablement pour ces deux âmes en lutte, Madrid devient le lieu de toutes les colères..",285101,https://fr.web.img6.acsta.net/c_310_420/pictures/23/06/08/12/43/3120129.jpg
Joy Ride,2023-07-05,Comédie,92.0,Adele Lim,Metropolitan FilmExport,"Stephanie Hsu,Ashley Park,Sherry Cola",U.S.A.,Anglais,Long-métrage,2023,19,"Audrey demande à son amie d’enfance Lolo, à son ancienne coloc Kat devenue star de feuilletons chinois et à Deux de Tens’ l’excentrique cousine de Lolo de l’accompagner en Chine à la recherche de sa mère biologique. Mais leur voyage se transforme en la plus dingue des expériences durant laquelle les jeunes femmes vont enchaîner les galères !",294620,https://fr.web.img6.acsta.net/c_310_420/pictures/23/04/18/18/48/0187144.jpg
