iter	RMSE
0	2587388.241
1	2555835.37
2	2525060.466
3	2496474.914
4	2465634.216
5	2441976.828
6	2417895.802
7	2393973.767
8	2370079.117
9	2353186.873
10	2336861.402
11	2320778.172
12	2303861.264
13	2287894.865
14	2271196.037
15	2257978.831
16	2245753.659
17	2234178.071
18	2223972.054
19	2211356.474
20	2202019.201
21	2192300.902
22	2183696.348
23	2174509.392
24	2164083.014
25	2156871.761
26	2149832.195
27	2142282.137
28	2132608.049
29	2124648.935
30	2117902.46
31	2112231.023
32	2107471.898
33	2103510.211
34	2098159.643
35	2091381.776
36	2084160.511
37	2081312.782
38	2074328.113
39	2069874.011
40	2066489.452
41	2062410.344
42	2058041.51
43	2052217.215
44	2047806.753
45	2043734.404
46	2041436.938
47	2036146.486
48	2032895.516
49	2030147.238
50	2026031.581
51	2024535.133
52	2022369.357
53	2021195.853
54	2018447.907
55	2014573.962
56	2011077.2
57	2006584.753
58	2004241.001
59	2002690.226
60	2001169.068
61	1998736.664
62	1997634.609
63	1994765.592
64	1991627.056
65	1988752.246
66	1986653.421
67	1985151.014
68	1983856.699
69	1982752.499
70	1981562.257
71	1979989.562
72	1979297.193
73	1975376.508
74	1970615.086
75	1969697.031
76	1968812.555
77	1964739.394
78	1962761.787
79	1961968.321
80	1960533.131
81	1957627.64
82	1954070.987
83	1951139.736
84	1948721.973
85	1946433.517
86	1944337.376
87	1942235.945
88	1941856.128
89	1940192.786
90	1938674.774
91	1937814.615
92	1934862.93
93	1932888.352
94	1931515.376
95	1930425.449
96	1928037.372
97	1925871.329
98	1924820.749
99	1922245.772
100	1920933.594
101	1918344.31
102	1917923.899
103	1916836.836
104	1914323.519
105	1911728.107
106	1910027.225
107	1908481.792
108	1907256.269
109	1904718.972
110	1902040.221
111	1900400.113
112	1899885.352
113	1897721.315
114	1896764.04
115	1895305.252
116	1891946.504
117	1890669.981
118	1889363.663
119	1887456.537
120	1885704.481
121	1884185.985
122	1881398.899
123	1878169.419
124	1876929.081
125	1875121.349
126	1872099.481
127	1870196.745
128	1866134.163
129	1865695.473
130	1863943.041
131	1861716.987
132	1859324.317
133	1857353.549
134	1856041.867
135	1853549.715
136	1852260.635
137	1851093.443
138	1849919.07
139	1849011.046
140	1847559.905
141	1845811.301
142	1845257.894
143	1842668.628
144	1841251.728
145	1837542.762
146	1836514.067
147	1833705.043
148	1832083.421
149	1831067.316
150	1830371.986
151	1828958.964
152	1825633.145
153	1824352.473
154	1822676.567
155	1819817.118
156	1818749.073
157	1817467.702
158	1814764.934
159	1812970.835
160	1811224.629
161	1807567.716
162	1807095.749
163	1803891.245
164	1802951.539
165	1801270.238
166	1799007.531
167	1797182.162
168	1796433.452
169	1795532.096
170	1795019.622
171	1792803.28
172	1791678.209
173	1790577.555
174	1789449.589
175	1788241.04
176	1785911.497
177	1785036.774
178	1783623.814
179	1782145.096
180	1781067.214
181	1780248.381
182	1779104.497
183	1777768.864
184	1776059.758
185	1773462.841
186	1771963.716
187	1770763.135
188	1770253.873
189	1769697.6
190	1768228.873
191	1767150.568
192	1765850.873
193	1764398.545
194	1763726.613
195	1762310.083
196	1761817.756
197	1759793.145
198	1757904.262
199	1755677.319
