iter	RMSE
0	2586610.176
1	2545653.09
2	2509470.017
3	2476205.259
4	2445731.267
5	2419365.789
6	2391441.379
7	2366191.442
8	2343600.094
9	2319917.005
10	2299658.993
11	2279435.376
12	2262509.145
13	2245077.879
14	2229835.28
15	2214027.403
16	2198517.769
17	2188579.017
18	2178372.254
19	2166791.365
20	2158982.369
21	2150147.976
22	2141738.494
23	2133084.625
24	2122329.062
25	2115473.696
26	2107982.174
27	2099319.46
28	2092724.313
29	2086163.078
30	2080632.925
31	2076535.834
32	2068370.652
33	2062560.657
34	2056431.495
35	2050134.13
36	2046389.974
37	2042991.696
38	2038190.904
39	2033678.541
40	2027795.19
41	2025128.393
42	2022391.903
43	2020060.55
44	2016723.838
45	2014607.414
46	2010685.684
47	2006181.067
48	2001202.157
49	1998125.826
50	1994304.615
51	1991447.613
52	1986159.626
53	1983785.782
54	1980835.873
55	1977323.502
56	1974825.043
57	1970713.54
58	1969550.785
59	1965979.658
60	1962771.964
61	1961501.993
62	1958152.834
63	1955003.824
64	1952807.527
65	1951635.314
66	1950052.353
67	1948351.043
68	1946903.739
69	1943381.883
70	1942262.963
71	1940016.104
72	1939171.206
73	1937114.509
74	1935791.451
75	1933820.254
76	1932131.977
77	1930318.414
78	1926052.251
79	1923206.388
80	1920972.391
81	1917995.898
82	1914138.917
83	1912044
84	1910621.622
85	1908130.885
86	1907079.683
87	1905714.629
88	1904056.279
89	1901679.291
90	1900504.093
91	1897912.905
92	1894888.366
93	1894451.772
94	1892967.012
95	1892067.663
96	1891505.689
97	1889603.121
98	1888407.237
99	1886254.819
100	1884958.615
101	1882393.96
102	1878152.91
103	1877385.886
104	1875682.892
105	1874527.808
106	1873650.058
107	1872371.318
108	1870889.024
109	1868994.469
110	1867811.946
111	1866976.354
112	1863555.368
113	1862715.308
114	1859280.175
115	1855804.107
116	1854534.808
117	1852284.352
118	1851221.372
119	1848699.9
120	1848416.212
121	1847533.156
122	1845111.525
123	1844767.081
124	1844046.465
125	1839406.27
126	1838219.164
127	1837040.146
128	1836734.821
129	1835690.222
130	1833166.498
131	1830775.169
132	1829536.401
133	1826652.677
134	1824280.876
135	1821542.775
136	1820777.115
137	1820209.702
138	1818055.603
139	1816695.047
140	1814992.241
141	1813659.032
142	1812601.709
143	1811007.719
144	1809909.843
145	1808049.862
146	1807174.917
147	1805278.423
148	1803196.047
149	1800628.367
150	1799234.334
151	1797399.8
152	1796657.79
153	1795851.916
154	1794522.642
155	1793756.285
156	1791926.867
157	1789662.22
158	1788825.517
159	1786905.802
160	1786031.809
161	1785224.742
162	1785015.163
163	1784088.321
164	1783567.98
165	1781653.907
166	1780647.586
167	1778769.927
168	1776278.978
169	1775219.371
170	1774829.967
171	1773758.853
172	1772480.169
173	1772231.035
174	1770655.727
175	1769894.967
176	1767023.13
177	1765858.635
178	1764532.995
179	1762431.767
180	1761379.934
181	1760699.693
182	1759153.309
183	1757104.539
184	1755827.076
185	1754406.332
186	1753285.331
187	1752497.54
188	1751010.143
189	1749992.798
190	1748679.147
191	1746548.749
192	1745680.53
193	1744250.207
194	1741032.311
195	1740515.714
196	1739505.914
197	1738423.154
198	1737071.35
199	1735237.474
