iter	Passed	Remaining
0	3	339
1	6	324
2	9	311
3	12	301
4	15	299
5	19	297
6	22	295
7	25	290
8	27	279
9	29	268
10	32	261
11	35	259
12	38	256
13	41	252
14	43	247
15	46	246
16	50	244
17	53	243
18	56	242
19	59	237
20	63	237
21	66	236
22	69	233
23	72	230
24	75	227
25	78	222
26	82	222
27	85	219
28	88	216
29	91	213
30	93	208
31	96	205
32	99	202
33	102	199
34	105	196
35	108	192
36	111	189
37	113	185
38	116	182
39	119	179
40	122	176
41	125	173
42	128	170
43	131	167
44	134	164
45	137	161
46	140	158
47	143	155
48	147	153
49	150	150
50	153	147
51	156	144
52	159	141
53	162	138
54	165	135
55	168	132
56	171	129
57	173	125
58	176	122
59	179	119
60	181	116
61	185	113
62	187	110
63	190	107
64	194	104
65	198	102
66	201	99
67	204	96
68	206	92
69	209	89
70	212	86
71	215	83
72	218	80
73	220	77
74	223	74
75	226	71
76	229	68
77	231	65
78	234	62
79	237	59
80	240	56
81	244	53
82	247	50
83	249	47
84	252	44
85	256	41
86	259	38
87	262	35
88	264	32
89	268	29
90	270	26
91	274	23
92	277	20
93	280	17
94	282	14
95	285	11
96	288	8
97	290	5
98	293	2
99	296	0
