titre,fin_semaine_1,boxoffice_1,boxoffice_2,film_id_allocine
L'Innocent,19/10/2022,192906,157119,284675
Une histoire d'amour et de désir,08/09/2021,16502,9195,273909
Le Prestige,22/11/2006,122611,54401,108998
Evil Dead Rise,26/04/2023,235926,167421,277876
The Hunt,01/07/2020,19864,17071,263711
Plancha,02/11/2022,271193,145563,292132
Seule : les dossiers Silvercloud,15/03/2023,31,12,291113
Farang,05/07/2023,79426,54052,308295
C’est mon homme,12/04/2023,24890,13155,294309
Sous le tapis,26/07/2023,24474,15412,314019
À contretemps,12/07/2023,28720,10628,285101
"Ruby, l'ado Kraken",03/07/2023,5200000,2846245,313706
Mauvaises herbes,28/11/2018,201117,108090,253530
Insidious,22/06/2011,193688,127061,182603
Armageddon Time,16/11/2022,155547,93090,274315
Illusions Perdues,27/10/2021,230106,211589,273621
Les Vengeances de Maître Poutifard,05/07/2023,180735,117728,306417
Vers un avenir radieux,05/07/2023,91786,47190,304632
The Whale,15/03/2023,65064,69274,289056
Coco,06/12/2017,948846,619289,206775
Comme les 5 doigts de la main,05/05/2010,230290,126001,169911
La Voie de la justice,05/02/2020,113153,80478,239735
Stars At Noon,21/06/2023,13094,4692,281295
Mon Inconnue,10/04/2019,209564,133287,259452
"Zodi et Téhu, frères du désert",15/02/2023,84934,61784,296074
Avatar,23/12/2009,2648596,2925087,61282
Limbo,19/07/2023,23509,11266,290331
L'Éducation d'Ademoka,19/07/2023,1110,448,297553
Antichrist,10/06/2009,63719,40295,120692
Les Déguns 2,02/08/2023,307587,,308779
La Maison du mal,26/07/2023,96861,43476,286514
Asteroid City,28/06/2023,117498,86521,290497
Bac Nord,25/08/2021,483381,414170,274530
Le Retour,19/07/2023,22450,10121,306156
Creed III,08/03/2023,1105921,503413,277129
Le Dernier duel,20/10/2021,147221,102078,233330
The Gentlemen,12/02/2020,238040,185527,264538
Dragon Ball Super: Super Hero,12/10/2022,218070,83380,292719
Pornomelancolia,28/06/2023,3611,1363,278761
Drunk,21/10/2020,114935,89089,275050
Le Jeu,24/10/2018,429132,398254,259649
Ant-Man et la Guêpe : Quantumania,22/02/2023,735356,437550,261724
The Big Short : le Casse du siècle,30/12/2015,305395,216278,227900
