titre,date,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description
Cash,06/07/2023,95,Jérémie Rozan,-,"Raphaël Quenard,Agathe Rousselle,Igor Gotesman",, France,Français,Long-métrage,2023,-,"3,3","3,5",11 articles de presse,,"À Chartres, les Breuil, à la tête d’un important groupe de parfums, règnent sur la ville de père en fils. Toujours à Chartres, mais à des années-lumière de ce monde de luxe, Daniel Sauveur ne supporte plus la richesse insolente des Breuil et vit de petites combines. Quand le projet qu’il a monté avec son copain d’enfance est sabordé par le groupe, il n’a plus qu’une idée en tête : se venger. Il se débrouille alors pour être embauché dans l’usine familiale et convainc ses collègues de dérober une partie du stock. Avec toujours le même objectif : faire tomber la plus puissante dynastie de la ville…"
Sur la branche,26/07/2023,91,Marie Garel-Weiss, Pyramide Distribution ,"Daphne Patakia,Benoît Poelvoorde,Agnès Jaoui",, France,Français,Long-métrage,2023,"3,8 M€","3,3","3,2",18 articles de presse,2 nominations,"Mimi a presque trente ans et rêve toujours à ce qu'elle pourrait faire quand elle sera grande. Alors qu'elle se décide à chercher du travail, elle fait la connaissance de Paul, un avocat sur la touche. Ensemble ils vont tenter de défendre Christophe, un petit arnaqueur qui clame son innocence. Si Paul voit dans cette affaire un moyen de se refaire, Mimi y voit, elle, une mission, un chemin vers la justice et la vérité."
Limbo,12/07/2023,118,Soi Cheang, Kinovista ,"Ka Tung Lam,Yase Liu,Mason Lee",, Hong-Kong,"Chinois, Japonais, Cantonais",Long-métrage,2021,-,"4,0","3,8",21 articles de presse,2 prix et 5 nominations,"Dans les bas-fonds de Hong-Kong, un flic vétéran et son jeune supérieur doivent faire équipe pour arrêter un tueur qui s’attaque aux femmes, laissant leur main coupée pour seule signature. Quand toutes leurs pistes s’essoufflent, ils décident d’utiliser une jeune délinquante comme appât."
Les Vengeances de Maître Poutifard,28/06/2023,90,Pierre-François Martin-Laval, UGC Distribution ,"Christian Clavier,Isabelle Nanty,Jennie-Anne Walker",, France,Français,Long-métrage,2023,-,"2,0","2,1",5 articles de presse,,"Instituteur à la retraite, Robert Poutifard n'a plus qu'une idée en tête : se venger de ses anciens élèves qui ont gâché sa vie ! Pour l’aider à mettre en place son plan diabolique, il a la meilleure des complices à ses côtés... sa maman. Ensemble, ils vont leur en faire voir de toutes les couleurs ! La vengeance est un plat qui se mange froid, et Robert Poutifard leur prépare une vraie surprise du chef."
The Flash,14/06/2023,144,Andy Muschietti, Warner Bros. France ,"Ezra Miller,Sasha Calle,Michael Shannon",, U.S.A.,Anglais,Long-métrage,2023,-,"2,5","3,0",28 articles de presse,,"Les réalités s’affrontent dans THE FLASH lorsque Barry se sert de ses super-pouvoirs pour remonter le temps et modifier son passé. Mais ses efforts pour sauver sa famille ne sont pas sans conséquences sur l’avenir, et Barry se retrouve pris au piège d’une réalité où le général Zod est de retour, menaçant d’anéantir la planète, et où les super-héros ont disparu. À moins que Barry ne réussisse à tirer de sa retraite un Batman bien changé et à venir en aide à un Kryptonien incarcéré, qui n’est pas forcément celui qu’il recherche. Barry s’engage alors dans une terrible course contre la montre pour protéger le monde dans lequel il est et retrouver le futur qu’il connaît. Mais son sacrifice ultime suffira-t-il à sauver l’univers ?"
Les Déguns 2,26/07/2023,88,Cyrille Droux, Apollo Films ,"Karim Jebli,Nordine Salhi,Sofiane Zermani",, France,Français,Long-métrage,2023,"1,8 M€","1,4",,50 Critiques Spectateurs,,"Après leurs déboires et leurs aventures du premier opus, Nordine Salhi et Karim Jeb alias Karim et Nono reviennent plus en forme et plus déterminés que jamais et continuent leur quête de succès par tous les moyens. Après un premier échec cuisant dans l’univers de la télé-réalité, les deux acolytes décident de se lancer dans le rap. Dans sa recherche du succès musical, Karim, alias Nécrophile, aidé de son manager Nono, ne cesse d’accumuler des tentatives ratées. Une opportunité vers la célébrité est saisie, mais tout ne se passe pas comme prévu, et les mésaventures vont s'enchaîner pour les deux protagonistes."
Sous le tapis,19/07/2023,97,Camille Japy, Paname Distribution ,"Ariane Ascaride,Bérénice Bejo,Thomas Scimeca",, France,Français,Long-métrage,2023,-,"3,1","3,5",17 articles de presse,2 nominations,"Odile se prépare à fêter son anniversaire. Alors que ses enfants et petits enfants sont en route pour la soirée, Jean, son mari, décède brutalement. Incapable de faire face à cette réalité, elle le cache sous son lit..."
À contretemps,05/07/2023,103,Juan Diego Botto, Condor Distribution ,"Penélope Cruz,Luis Tosar,Christian Checa",En los márgenes, Espagne,Espagnol,Long-métrage,2022,-,"3,6","3,4",17 articles de presse,2 nominations,"Avocat aux fortes convictions sociales, Rafa a jusqu’à minuit pour retrouver la mère d’une fillette laissée seule dans un logement insalubre. A défaut, la police placera la petite en foyer. Dans sa course contre la montre, Rafa croise la route d’Azucena, une femme injustement menacée d’expulsion, et qui pour s’en sortir, tente de provoquer une révolte citoyenne. Alors que les heures défilent implacablement pour ces deux âmes en lutte, Madrid devient le lieu de toutes les colères.."
Farang,28/06/2023,99,Xavier Gens, StudioCanal ,"Nassim Lyes,Loryn Nounay,Olivier Gourmet",, France,Français,Long-métrage,2023,-,"3,4","3,7",16 articles de presse,,"Sam est un détenu exemplaire. A quelques mois de sa sortie de prison, il prépare assidument sa réinsertion. Lors d'une permission, son passé le rattrape et un accident ne lui laisse qu'un seul choix : la fuite. Cinq ans plus tard, il a refait sa vie en Thaïlande, où il a fondé la famille dont il a toujours rêvé. Mais Narong, le parrain local, l'oblige à plonger à nouveau dans la délinquance. Quand Sam veut tout arrêter, Narong s’attaque à sa famille… Sam va traverser la Thaïlande pour se venger de son bourreau."
"Ruby, l'ado Kraken",28/06/2023,90,Kirk DeMicco, Universal Pictures International France ,"Lana Condor,Toni Collette,Jane Fonda","Ruby Gillman, Teenage Kraken", U.S.A.,Anglais,Long-métrage,2023,-,"2,7","2,5",31 Critiques Spectateurs,,"Âgée de 16 ans, Ruby Gillman est aussi maladroite qu’adorable. Elle tente désespérément de trouver sa place au lycée d’Oceanside, où elle a l’impression d’être totalement transparente. Elle donne des cours de soutien en maths à un jeune skater dont elle est secrètement amoureuse, mais qui ne semble admirer chez elle que sa capacité à résoudre des équations. Et de toute façon, elle ne peut pas fréquenter les élèves les plus intéressants du lycée, car sa mère qui la surprotège, lui a formellement interdit de se baigner dans l’océan. Mais le jour où elle lui désobéit et brise cette règle d’or, elle découvre qu’elle est la descendante directe de la lignée des reines guerrières Kraken, et qu’elle est destinée à monter sur le trône jusque-là occupé par sa grand-mère : la reine guerrière des Sept mers. Les Kraken ont prêté serment de protéger les océans du monde entier de la cupidité et de la vanité des sirènes, leurs ennemies jurées. Le seul véritable problème pour Ruby est qu’elle va donc devoir s’opposer à Chelsea, la nouvelle la plus jolie et la plus populaire du lycée qui se trouve justement être une sirène. Ruby devra alors embrasser son destin et s’imposer pour protéger ceux qu’elle aime le plus."
