titre,date,genre,duree,realisateur,distributeur,acteurs,nationalites,langue_d_origine,type_film,annee_production,nombre_article,description,film_id_allocine,image,boxoffice
La Maison de la mort,1934-04-06,Epouvante-horreur,72,James Whale,Carlotta Films,"Boris Karloff,Melvyn Douglas,Charles Laughton",U.S.A.,Anglais,Long-métrage,1932,15,"Alors qu’ils traversent une région isolée du pays de Galles, M. et Mme Waverton et leur ami Philip sont pris dans une terrible tempête. Ils trouvent refuge dans une vieille demeure tenue par Rebecca Femm et son frère Horace, secondés par Morgan, leur étrange majordome muet et défiguré. Un peu plus tard dans la soirée, deux autres visiteurs viennent à leur tour demander l’hospitalité : Sir William Porterhouse et son amie Gladys Duquesne. À mesure que la nuit s’installe, l’atmosphère se fait de plus en plus pesante entre les hôtes et leurs invités. Le terrible secret de cette demeure est alors sur le point d’être révélé !",43316,https://fr.web.img3.acsta.net/c_310_420/pictures/19/08/05/11/35/3373963.jpg,911
La Vie est belle,1947-12-10,Comédie dramatique_Comédie_Drame_Fantastique,129,Frank Capra,Swashbuckler Films,"James Stewart,Donna Reed,Lionel Barrymore",U.S.A.,Anglais,Long-métrage,1946,6,"Le décès de son père oblige un homme à reprendre l'entreprise familiale de prêts à la construction, qui permet aux plus déshérités de se loger. Il entre en conflit avec l'homme le plus riche de la ville, qui tente de ruiner ses efforts. Au moment où il approche de la victoire, il égare les 8 000 dollars qu'il devait déposer en banque. Le soir de Noël, désespéré, il songe au suicide. C'est alors que le Ciel dépêche à ses côtés un ange de seconde classe, qui pour gagner ses ailes devra l'aider à sortir de cette mauvaise passe...",5762,https://fr.web.img6.acsta.net/c_310_420/pictures/14/11/25/12/09/240011.jpg,734571
Cendrillon,1950-12-01,Animation_Comédie musicale_Fantastique_Romance,75,Wilfred Jackson,Buena Vista International,"Ilene Woods,Eleanor Audley,Verna Felton",U.S.A.,Anglais,Long-métrage,1950,217,"Cendrillon, servante de sa marâtre et de ses demi-soeurs reçoit un jour la visite de sa marraine fée qui la pare d'une robe de princesse à l'occasion d'une reception donnée par le prince. N'ayant que la permission de minuit, elle s'enfuit et perd une pantoufle de verre. Le prince tombé amoureux tentera de la retrouver grâce à cette pantoufle oubliée, trop petite pour un pied ordinaire.",38826,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/35/80/27/18429571.jpg,38457
La Passagère,1964-10-28,Drame,62,Andrzej Munk,Malavida Films,"Anna Ciepielewska,Aleksandra Slaska,Jan Kreczmar",Pologne,Polonais,Long-métrage,1961,8,"Liza subit un choc, quand, lors d'une croisière en compagnie de son mari, elle croit reconnaître parmi les passagers une jeune femme, Marta, ex-détenue du camp d'Auschwitz où elle était surveillante SS. Liza, dont le mari ignore cette partie de sa vie, se souvient de son passé terrifiant. Ce sont d'abord des fragments en vrac qu'elle arrange afin de construire un récit à l'intention de son mari, et dans le but de se justifier, mais peu à peu la véritable histoire se reconstitue.",2314,https://fr.web.img6.acsta.net/c_310_420/pictures/22/11/23/10/54/1103620.jpg,1420
La Planète des singes,1968-04-26,Drame_Science fiction,110,Franklin J. Schaffner,Swashbuckler Films,"Charlton Heston,Roddy McDowall,Kim Hunter",U.S.A.,Anglais,Long-métrage,1968,1,"Egaré dans l'espace-temps, un engin spatial américain s'écrase en 3978 sur une planète inconnue. Les astronautes Taylor, Landon et Dodge découvrent que les hommes primitifs de cette planète mystérieuse sont placés sous le joug de singes très évolués...",12791,https://fr.web.img6.acsta.net/c_310_420/pictures/16/03/24/14/52/145009.jpg,175773
Joe Hill,1971-12-08,Biopic_Drame,117,Bo Widerberg,Malavida Films,"Thommy Berggren,Anja Schmidt,Kelvin Malave",Suède,Anglais,Long-métrage,1971,4,"En 1902, deux immigrants suédois, Joel et Paul Hillstrom, arrivent aux Etats-Unis. Ils doivent faire face à une langue nouvelle et à l'effroyable pauvreté qui règne dans les quartiers de l'East Side à New-York. Paul quitte la ville, Joel y reste, amoureux d'une jeune Italienne. Mais la liaison est de courte durée. Rien ne le retenant à New-York, Joel, devenu Joe Hill, se met en route vers l'Ouest pour retrouver son frère...",59673,https://fr.web.img4.acsta.net/c_310_420/pictures/20/06/08/15/00/0733465.jpg,906
L'Exorciste,1974-09-11,Epouvante-horreur,121,William Friedkin,Warner Bros. France,"Linda Blair,Ellen Burstyn,Max von Sydow",U.S.A.,Anglais,Long-métrage,1973,12,"L'actrice Chris McNeil est inquiète au sujet de sa fillette Regan : après que l'on ait entendu des bruits curieux venant de sa chambre, la petite a changé, proférant de constantes insanités. Une force para-normale l'habite, qui coûte la vie au metteur en scène de Chris. Désespérée, cette dernière fait appel à deux exorcistes...",27765,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/65/19/82/18835952.jpg,621727
Apocalypse Now Final Cut,1979-09-26,Drame_Guerre,182,Francis Ford Coppola,Pathé,"Martin Sheen,Frederic Forrest,Robert Duvall",U.S.A.,Anglais,Long-métrage,1979,15,"Cloîtré dans une chambre d'hôtel de Saïgon, le jeune capitaine Willard, mal rasé et imbibé d'alcool, est sorti de sa prostration par une convocation de l'état-major américain. Le général Corman lui confie une mission qui doit rester secrète : éliminer le colonel Kurtz, un militaire aux méthodes quelque peu expéditives et qui sévit au-delà de la frontière cambodgienne.",27061,https://fr.web.img2.acsta.net/c_310_420/pictures/19/08/01/11/55/5421188.jpg,20537
Les Aventuriers de l'Arche perdue,1981-09-16,Action_Aventure,116,Steven Spielberg,CIC,"Harrison Ford,Karen Allen,Paul Freeman",U.S.A.,Anglais,Long-métrage,1981,5,"1936. Parti à la recherche d'une idole sacrée en pleine jungle péruvienne, l'aventurier Indiana Jones échappe de justesse à une embuscade tendue par son plus coriace adversaire : le Français René Belloq.",121,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/00/02/49/18/affiche.jpg,1673731
E.T. l'extra-terrestre,1982-12-01,Aventure_Famille_Science fiction,120,Steven Spielberg,Universal Pictures International France,"Henry Thomas,Drew Barrymore,Dee Wallace",U.S.A.,Anglais,Long-métrage,1982,12,"Une soucoupe volante atterrit en pleine nuit près de Los Angeles. Quelques extraterrestres, envoyés sur Terre en mission d'exploration botanique, sortent de l'engin, mais un des leurs s'aventure au-delà de la clairière où se trouve la navette. Celui-ci se dirige alors vers la ville. C'est sa première découverte de la civilisation humaine. Bientôt traquée par des militaires et abandonnée par les siens, cette petite créature apeurée se nommant E.T. se réfugie dans une résidence de banlieue.",29718,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/00/02/36/52/affet.jpg,181620
