acteurs,annee_production,date,description,distributeur,duree,film_id_allocine,genre,image,langue_d_origine,nationalites,realisateur,titre,type_film
"Sydney Sweeney,Josh Hamilton,Marchant Davis",2023,2023-08-16,"Le 3 juin 2017, Reality Winner, vingt-cinq ans, est interrogée par deux agents du FBI à son domicile. Cette conversation d’apparence banale parfois surréaliste, dont chaque dialogue est tiré de l’authentique transcription de l’interrogatoire, brosse le portrait complexe d’une milléniale américaine, vétérane de l’US Air Force, professeure de yoga, qui aime les animaux, les voyages et partager des photos sur les réseaux sociaux. Pourquoi le FBI s’intéresse-t-il à elle ? Qui est vraiment Reality ?",Metropolitan FilmExport,82,305392,Biopic_Drame,https://fr.web.img6.acsta.net/c_310_420/pictures/23/06/16/08/52/5418479.jpg,Anglais,U.S.A.,Tina Satter,Reality,Long-métrage
"Tilda Swinton,Agustín Almodóvar,Miguel Almodóvar",2020,2021-03-19,"Une femme regarde le temps passer à côté des valises de son ex-amant (qui est censé venir les chercher, mais n'arrive jamais) et d'un chien agité qui ne comprend pas que son maître l'ait abandonné. Deux êtres vivants face à l'abandon.",Pathé,30,281152,Drame_Expérimental,https://fr.web.img5.acsta.net/c_310_420/pictures/23/06/29/17/03/5479074.jpg,Anglais,Espagne,Pedro Almodóvar,La Voix humaine,Moyen-métrage
"Mehmet Emin Toprak,Emin Ceylan,Havva Saglam",1997,2023-08-16,"Turquie, un petit village dans les années 70. Au fil des saisons deux enfants se frottent au monde adulte à sa complexité et à sa cruauté... Le premier long métrage, inédit en salles, du réalisateur de Winter Sleep, Palme d'Or, Festival de Cannes 2014.",Memento Distribution,82,21382,Drame,https://fr.web.img6.acsta.net/c_310_420/pictures/23/06/22/16/33/1675075.jpg,Turc,Turquie,Nuri Bilge Ceylan,Kasaba,Long-métrage
"Ray Winstone,Kathy Burke,Charlie Creed-Miles",1997,1997-11-05,"L'histoire d'une famille ordinaire qui vit dans le sud de Londres. Film autobiographique, ""je l'ai voulu honnete, vrai, sans concessions, declare le realisateur, comme l'album-photo de tous ceux qui m'ont touche et trouble dans ma vie"" Gary Oldman.",Mission,119,12120,Drame,https://fr.web.img2.acsta.net/c_310_420/pictures/23/07/12/09/17/0904012.jpg,Anglais,Grande-Bretagne,Gary Oldman,Ne pas avaler,Long-métrage
Inconnu,2023,2023-08-19,,Pathé Live,165,315241,Concert,https://fr.web.img6.acsta.net/c_310_420/pictures/23/05/25/11/39/5672491.jpg,Anglais,U.S.A.,Gene McAuliffe,Metallica M72 World Tour - Concert #1,Evénement spécial
"Leslie Cheung, Zhang Fengyi,Lu Qi",1993,1993-10-27,"Douzi et Shitou se rencontrent à l'académie de l'opéra de Pékin. Amis dès le premier jour, les deux garçons sont les acteurs principaux de l'opéra ""Adieu ma concubine"". Lors de la tournée, Douzi tombe amoureux de son ami mais celui-ci préfère les charmes de Juxian, une prostituée. Lorsque Shitou veut épouser la jeune femme, cette décision aura de sérieuses conséquences sur leur amitié.",Carlotta Films,173,99677,Drame_Romance,https://fr.web.img3.acsta.net/c_310_420/pictures/23/06/15/14/26/1965400.jpg,Mandarin,Hong-Kong,Chen Kaige,Adieu ma concubine,Long-métrage
"Tilda Swinton,Ethan Hawke,Pedro Pascal",2023,2023-08-16,Deux moyens-métrages de Pedro Almodovar : La Voix humaine et Strange Way of Life.,Pathé,61,317465,Drame_Western,https://fr.web.img2.acsta.net/c_310_420/pictures/23/07/21/14/41/5810849.jpg,Anglais,Espagne,Pedro Almodóvar,L'Expérience Almodóvar,Moyen-métrage
"Ali Suliman,Aderrahim Tamimi,Inês Monteiro",2022,2023-08-16,"Abdelinho, de son vrai prénom Abdellah vit dans une petite ville au Maroc. Abdelinho est coincé entre une mère hystérique et un travail kafkaïen dans une administration. Sa seule échappatoire : le Brésil et son amour pour Maria, l'héroïne d'une télénovela éponyme. Cette passion est menacée par l'arrivée de l’obscur Amr Taleb, télévangéliste musulman, qui prône une sobriété bien éloignée des cours de samba donnés par Abdelinho aux femmes de sa ville.",Urban Distribution,100,304440,Comédie_Drame,https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/03/17/43/4627589.jpg,Arabe,Maroc,Hicham Ayouch,Abdelinho,Long-métrage
"John Lloyd Cruz,Ronnie Lazaro,Don Melvin Boongaling",2022,2023-08-16,"Le lieutenant Hermes Papauran, l’un des meilleurs enquêteurs des Philippines, se trouve dans un profond dilemme moral. En tant que membre des forces de l’ordre, il est le témoin privilégié de la campagne meurtrière anti-drogue que son institution mène avec dévouement. Les atrocités corrodent Hermes physiquement et spirituellement, lui causant une grave maladie de peau qui résulte de l’anxiété et de la culpabilité. Pour guérir, il devra affronter ses propres démons.",Epicentre Films,187,255377,Drame_Thriller,https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/25/15/47/4381328.jpg,Filipino,Philippines,Lav Diaz,Quand les vagues se retirent,Long-métrage
"Gianni Di Gregorio,Stefania Sandrelli,Alfonso Santagata",2021,2023-08-16,"Astolfo, professeur à la retraite, doit quitter son appartement romain, expulsé par la propriétaire. Désargenté, il décide de retourner au village de ses ancêtres, pour habiter le palais familial en ruine, vestige d'un patrimoine que chacun tente d'accaparer. Il se lie d’amitié avec le marginal qui squatte depuis des années la demeure, mais aussi avec un cuisinier retraité et un jeune sans emploi. Mais surtout, il rencontre Stefania, une femme de son âge, timide, douce et généreuse. Encouragé par ses amis, Astolfo fait un pas courageux et apprend avec joie qu’il n’est jamais trop tard pour tomber amoureux.",Le Pacte,91,303915,Comédie_Romance,https://fr.web.img2.acsta.net/c_310_420/pictures/23/07/12/10/43/4697869.jpg,Italien,Italie,Gianni Di Gregorio,Seconde jeunesse,Long-métrage
