titre,boxoffice
La Voix d'Aida,17 087
Le Diable n'existe pas,26 645
Les Jeunes amants,152 312
De son vivant,90 106
Falling,18 436
The Green Knight,6 784 000
2 coeurs,565 000
Rien à foutre,53 656
Scooby !,191 223
La Voie de la justice,113 153
Louxor,3 597
Burning Casablanca (Zanka Contact),5 444
Drunk,114 935
La Mission,2 400 000
Cette musique ne joue pour personne,51 677
Piro Piro,6 853
Les Croods 2 : une nouvelle ère,288 149
C'est quoi ce papy ?!,120 764
SOL,83 565
Belle-Fille,141 458
Tempura,15 217
The Boy : la malédiction de Brahms,95 830
Le Peuple Loup,42 627
En décalage,4 494
The Good criminal,116 387
La Baleine et l'escargote,40 156
Les Trolls 2 - Tournée mondiale,419 574
Hokusai,52 791
À l’abordage,5 612
The Gentlemen,238 040
Terrible Jungle,83 427
J’irai mourir dans les Carpates,50 838
Tenet,948 378
The Hunt,19 864
Tout Simplement Noir,255 537
Relic,39 142
La Daronne,130 560
Nos plus belles années,21 010
Bac Nord,483 381
"Bruno Reidal, confession d'un meurtrier",4 760
The Duke,54 622
Supernova,11 765
Police,84 682
Le Test,150 143
Enragé,144 754
De l'autre côté du ciel,71 513
La très très grande classe,168 103
Zaï Zaï Zaï Zaï,47 192
Effacer l’historique,256 355
Le Sens de la famille,283 561
Violet Evergarden - le film,2 828
Mon grand-père et moi,50 862
Le Dernier voyage,18 373
Riders of Justice,15 441
Le Grand jour du Lièvre,9 376
Le Discours,121 740
Eté 85,137 684
Wonder Woman 1984,16 700 000
King,228 478
J’y crois encore,9 103 614
Miss,113 727
Des hommes,75 111
Albatros,47 815
Respect,63 758
La Pièce rapportée,26 288
Le Calendrier,27 119
Haute couture,92 692
Les Fantasmes,60 910
Tralala,41 732
"Barbie : Grande Ville, Grands Rêves",391
The Housewife,10 429
Sons of Philadelphia,15 334
Parents d'élèves,110 248
Demon Slayer - Kimetsu no Yaiba - Le film : Le train de l'infini,168 930
Désigné Coupable,148 446
Kung-Fu Zohra,28 119
Mon Cousin,205 217
The King Of Staten Island,14 320
Permis de construire,211 995
The Empty Man,1 265 000
After - Chapitre 2,420 000
Aline,595 211
Les Tuche 4,852 098
En avant,515 381
Envole-moi,54 583
Un vrai bonhomme,21 774
Profession du père,25 406
L'Arbre à voeux,50 457
L'Appel de la forêt,522 494
Rouge,35 011
Greenland - Le dernier refuge,193 402
Le Bonheur des uns...,95 111
Nomadland,125 027
Josep,61 028
Les Minions 2 : Il était une fois Gru,1 360 765
Eugénie Grandet,70 150
Le Loup et le lion,199 085
A l’ombre des filles,25 250
Limbo,3 912
Médecin de nuit,41 933
Sonic le film,771 015
La Bonne épouse,171 000
La Nuit des rois,2 258
Le Cas Richard Jewell,385 394
Sentinelle sud,12 440
L'Un des nôtres,10 884
Teddy,20 269
Antebellum,85 213
Seize Printemps,9 101
Peninsula,107 865
Nitram,10 078
Shorta,4 927
Felicità,13 933
Une vie démente,9 306
Entre les vagues,10 080
Fuis-moi je te suis,6 917
Tropique de la violence,4 697
Trois fois rien,55 960
Madre,30 484
Joyeuse retraite !,477 116
Monster Hunter,1 125 000
L'Origine Du Monde,117 938
Bigfoot Family,84 767
Irréversible - Inversion Intégrale,2 905
L'école du bout du monde,15 192
Une femme du monde,21 018
La Vraie famille,61 129
The Grudge,105 972
Fatale,918 112
Adieu Monsieur Haffmann,261 930
L'Amour c’est mieux que la vie,105 611
Les 2 Alfred,118 883
On sourit pour la photo,37 740
Bad Boys For Life,651 309
Canailles,36 523
Promising Young Woman,45 320
C'est magnifique !,90 935
First Cow,26 646
Babysitter,8 556
Minari,22 413
Enquête sur un scandale d'état,101 542
"Calamity, une enfance de Martha Jane Cannary",60 051
Waves,1 283
Faces cachées,3 406
Nightmare Island,206 429
Les Nouveaux mutants,160 373
ADN,48 077
The Power,17 761
Lui,120 111
Mes très chers enfants,198 247
Mandibules,50 543
Adieu Les Cons,600 444
"Les Choses qu’on dit, les choses qu’on fait",77 092
10 jours sans maman,541 102
Boîte noire,292 081
Invisible Man,349 741
La Nuée,23 596
The Father,153 927
Eiffel,408 803
Antoinette dans les Cévennes,173 550
