titre,semaine_1,boxoffice_1,boxoffice_2
12 Years a Slave,"
22 au 29 janvier 2014
",375 305,373 429
Le Garçon et la Bête,"
06 au 13 janvier 2016
",1 943,49 687
Là-haut,"
29 juillet au 5 août 2009
",1 301 980,825 909
Au Revoir Là-haut,"
25 octobre au 1 novembre 2017
",550 185,440 023
Le Mans 66,"
13 au 20 novembre 2019
",402 917,277 941
Edmond,"
09 au 16 janvier 2019
",247 500,161 817
Zootopie,"
17 au 24 février 2016
",1 556 396,1 028 882
1917,"
15 au 22 janvier 2020
",644 738,436 107
Le Château dans le ciel,"
15 au 22 janvier 2003
",227 573,179 885
Ratatouille,"
01 au 8 août 2007
",1 951 074,1 401 003
Le Sommet des Dieux,"
22 au 29 septembre 2021
",49 532,44 121
The Father,"
26 mai au 2 juin 2021
",153 927,137 633
Dallas Buyers Club,"
29 janvier au 5 février 2014
",106 158,64 700
Les Figures de l'ombre,"
08 au 15 mars 2017
",230 488,235 282
E.T. l'extra-terrestre,"
03 au 10 avril 2002
",181 620,141 452
Mustang,"
17 au 24 juin 2015
",81 059,71 051
Dragons,"
31 mars au 7 avril 2010
",674 114,500 198
La Couleur des sentiments,"
19 au 26 octobre 2011
",10 624,279 906
Vice Versa,"
17 au 24 juin 2015
",787 437,738 197
Warrior,"
14 au 21 septembre 2011
",100 169,57 237
Le Peuple Loup,"
20 au 27 octobre 2021
",42 627,42 984
Avatar,"
16 au 23 décembre 2009
",2 648 596,2 925 087
Ma Vie De Courgette,"
19 au 26 octobre 2016
",190 027,146 164
Le Discours d'un roi,"
02 au 9 février 2011
",494 161,508 512
The Dark Knight Rises,"
25 juillet au 1 août 2012
",1 835 547,954 334
Le Château ambulant,"
12 au 19 janvier 2005
",345 633,299 165
Incendies,"
12 au 19 janvier 2011
",41 570,36 566
Capharnaüm,"
17 au 24 octobre 2018
",108 057,85 806
Avengers: Infinity War,"
25 avril au 2 mai 2018
",2 565 953,1 050 826
Le Roi Lion,"
11 au 18 avril 2012
",210 904,171 733
Sixième Sens,"
26 janvier au 2 février 2000
",806 230,3 200 000
Rush,"
25 septembre au 2 octobre 2013
",149 696,91 505
"The Dark Knight, Le Chevalier Noir","
13 au 20 août 2008
",1 271 688,661 333
Top Gun: Maverick,"
25 mai au 1 juin 2022
",1 529 608,1 188 176
Alabama Monroe,"
21 au 28 août 2013
",4 148,39 955
Prisoners,"
09 au 16 octobre 2013
",354 954,291 860
Titanic,"
04 au 11 avril 2012
",498 212,332 440
Le Seigneur des anneaux : le retour du roi,"
17 au 24 décembre 2003
",2 935 984,2 110 083
Bohemian Rhapsody,"
31 octobre au 7 novembre 2018
",1 077 661,722 802
Mommy,"
08 au 15 octobre 2014
",340 171,223 517
Toy Story 3,"
14 au 21 juillet 2010
",1 276 905,916 145
Le Conte de la princesse Kaguya,"
25 juin au 2 juillet 2014
",74 916,47 155
Wall-E,"
30 juillet au 6 août 2008
",925 900,596 177
Green Book : Sur les routes du sud,"
23 au 30 janvier 2019
",288 777,247 197
Shutter Island,"
24 février au 3 mars 2010
",1 073 540,652 161
Whiplash,"
24 au 31 décembre 2014
",138 431,122 361
Tu ne tueras point,"
09 au 16 novembre 2016
",216 473,129 857
Joker,"
09 au 16 octobre 2019
",1 576 425,1 228 940
Lion,"
22 février au 1 mars 2017
",454 909,362 741
Le Voyage de Chihiro,"
10 au 17 avril 2002
",311 037,216 694
Million Dollar Baby,"
23 au 30 mars 2005
",774 989,501 807
Gran Torino,"
25 février au 4 mars 2009
",865 928,656 162
Le Seigneur des anneaux : les deux tours,"
18 au 25 décembre 2002
",2 404 825,2 091 495
Interstellar,"
05 au 12 novembre 2014
",1 071 360,572 034
Le Seigneur des anneaux : la communauté de l'anneau,"
19 au 26 décembre 2001
",1 978 162,1 975 260
Django Unchained,"
16 au 23 janvier 2013
",1 128 810,922 998
Coco,"
29 novembre au 6 décembre 2017
",948 846,619 289
Parasite,"
05 au 12 juin 2019
",376 842,231 685
Inception,"
21 au 28 juillet 2010
",1 305 534,830 961
Spider-Man : New Generation,"
12 au 19 décembre 2018
",218 728,149 041
Intouchables,"
26 octobre au 2 novembre 2011
",78 887,2 126 545
Apocalypse Now Final Cut,"
09 au 16 mai 2001
",20 537,20 197
Gone Girl,"
08 au 15 octobre 2014
",539 178,349 702
Room,"
09 au 16 mars 2016
",74 270,50 566
Imitation Game,"
28 janvier au 4 février 2015
",297 339,231 685
Inglourious Basterds,"
19 au 26 août 2009
",939 788,632 627
Slumdog Millionaire,"
14 au 21 janvier 2009
",208 898,200 609
Fantastic Mr. Fox,"
17 au 24 février 2010
",128 167,87 683
Le Pianiste,"
25 septembre au 2 octobre 2002
",379 604,308 163
Dune,"
15 au 22 septembre 2021
",1 030 687,662 287
Departures,"
03 au 10 juin 2009
",24 378,17 921
Silent Voice,"
22 au 29 août 2018
",33 202,24 288
Le Chant de la Mer,"
10 au 17 décembre 2014
",74 378,66 870
Dans ses yeux,"
05 au 12 mai 2010
",72 087,76 738
Your Name,"
28 décembre 2016 au 4 janvier 2017
",77 345,49 321
The Greatest Showman,"
24 au 31 janvier 2018
",230 190,157 560
"3 Billboards, Les Panneaux de la vengeance","
17 au 24 janvier 2018
",239 977,142 884
Nausicaä de la vallée du vent,"
23 au 30 août 2006
",80 524,57 777
La La Land,"
25 janvier au 1 février 2017
",754 534,559 552
Nous trois ou rien,"
28 octobre au 4 novembre 2015
",3 993,177 896
Into the Wild,"
09 au 16 janvier 2008
",292 739,254 896
Avengers: Endgame,"
24 avril au 1 mai 2019
",3 426 471,1 742 338
Dragons 2,"
02 au 9 juillet 2014
",1 340 940,712 175
L'Île aux chiens,"
11 au 18 avril 2018
",139 267,68 042
Eternal Sunshine of the Spotless Mind,"
06 au 13 octobre 2004
",158 850,120 535
