titre,boxoffice
L'Âge de glace 3 - Le Temps des dinosaures,2 403 734
Sixième Sens,806 230
Le Fabuleux destin d'Amélie Poulain,1 185 945
Star Wars: L'Ascension de Skywalker,2 420 710
Rien à déclarer,309 317
Avatar : la voie de l'eau,2 739 848
Jurassic Park,18 620 145
Astérix et Obélix : Mission Cléopâtre,3 685 097
Harry Potter et la chambre des secrets,2 728 766
Le Monde de Nemo,2 056 621
Spider-Man: No Way Home,2 867 515
Star Wars : Episode III - La Revanche des Sith,3 303 005
Le Seigneur des anneaux : le retour du roi,2 935 984
Les Choristes,786 220
La Famille Bélier,972 689
Avatar,2 648 596
La Reine des neiges II,2 137 267
Harry Potter et la Coupe de Feu,3 088 796
La Vérité si je mens ! 2,2 830 489
Bienvenue chez les Ch'tis,555 392
Harry Potter à l'école des sorciers,2 316 734
Titanic,498 212
Intouchables,78 887
E.T. l'extra-terrestre,181 620
L'Âge de glace : La dérive des continents,1 767 490
Le Roi Lion,3 252 896
Le Roi Lion,210 904
Les Bronzés 3 amis pour la vie,3 906 694
Le Seigneur des anneaux : la communauté de l'anneau,1 978 162
Avengers: Endgame,3 426 471
Astérix aux Jeux Olympiques,3 007 811
Les Dents de la Mer,2 300 000
Harry Potter et l'Ordre du Phénix,2 486 291
Spider-Man 3,2 778 533
L'Âge de glace 2,2 171 810
Qu'est-ce qu'on a encore fait au Bon Dieu?,2 153 093
Qu'est-ce qu'on a fait au Bon Dieu?,1 680 249
Cendrillon,38 457
Star Wars - Le Réveil de la Force,3 801 235
Top Gun: Maverick,1 529 608
Le Seigneur des anneaux : les deux tours,2 404 825
Harry Potter et le Prince de sang mêlé,2 882 397
Shrek 2,2 238 286
Skyfall,1 839 220
Les Aventuriers de l'Arche perdue,1 673 731
Ratatouille,1 951 074
Taxi 3,2 251 493
Harry Potter et le Prisonnier d'Azkaban,2 503 699
Arthur et les Minimoys,1 510 369
Harry Potter et les reliques de la mort - partie 2,3 129 485
Pirates des Caraïbes : le Secret du Coffre Maudit,2 708 112
Spider-Man,1 903 136
Les Minions,2 180 461
