titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description,boxoffice
Effacer l’historique,26/08/2020,,106.0,Gustave Kervern, Ad Vitam ,"Blanche Gardin,Denis Podalydès,Corinne Masiero",,"France,Belgique",Français,Long-métrage,2020,-,"4,0","2,2",31 articles de presse,1 prix et 2 nominations,"Dans un lotissement en province, trois voisins sont en prise avec les nouvelles technologies et les réseaux sociaux. Il y a Marie, victime de chantage avec une sextape, Bertrand, dont la fille est harcelée au lycée, et Christine, chauffeur VTC dépitée de voir que les notes de ses clients refusent de décoller.Ensemble, ils décident de partir en guerre contre les géants d’internet. Une bataille foutue d'avance, quoique...",256 355
Permis de construire,09/03/2022,,93.0,Eric Fraticelli, Warner Bros. France ,"Didier Bourdon,Eric Fraticelli,Anne Consigny",,,Français,Long-métrage,2020,-,"1,8","2,5",4 articles de presse,,"Dentiste à Paris, Romain vient de perdre son père qu'il n'a pas vu depuis des années. A sa grande surprise, ce dernier lui a laissé un terrain en héritage, ainsi qu'une dernière volonté : y faire construire la maison où il aurait aimé finir ses jours. Seul problème: ce terrain se situe en Corse.",211 995
Scooby !,08/07/2020,"Animation,Famille",94.0,Tony Cervone, Warner Bros. France ,"Frank Welker,Will Forte,Zac Efron",Scoob!,,Anglais,Long-métrage,2020,-,"2,5","2,5",108 Critiques Spectateurs,,"Dans SCOOBY!, on découvre comment Scooby et Sammy, amis pour la vie, se sont rencontrés et associés aux détectives en herbe Fred, Velma et Daphné pour créer la célèbre équipe Mystère et Cie.",191 223
Josep,30/09/2020,"Historique,Biopic,Drame",71.0, Aurel, Dulac Distribution ,"Sergi López,David Marsais,Silvia Pérez Cruz",,"France,Espagne,Belgique","Français, Anglais, Catalan, Espagnol",Long-métrage,2020,-,"4,0","3,7",91 Critiques Spectateurs,6 prix et 2 nominations,,61 028
Minari,23/06/2021,,116.0,Lee Isaac Chung, ARP Sélection ,"Steven Yeun,Ye-Ri Han,Alan S. Kim",,,"Coréen, Anglais",Long-métrage,2020,-,"3,9","3,6",35 articles de presse,3 prix et 16 nominations,Une famille américaine d’origine sud-coréenne s’installe dans l’Arkansas où le père de famille veut devenir fermier. Son petit garçon devra s’habituer à cette nouvelle vie et à la présence d’une grand-mère coréenne qu’il ne connaissait pas.,22 413
La Nuée,16/06/2021,Epouvante-horreur,101.0,Just Philippot, The Jokers / Capricci ,"Suliane Brahim,Sofian Khammes,Marie Narbonne",,,Français,Long-métrage,2020,-,"3,8","3,2",43 articles de presse,2 prix et 9 nominations,,23 596
A l’ombre des filles,13/04/2022,,106.0,Etienne Comar, Ad Vitam ,"Alex Lutz,Agnès Jaoui,Hafsia Herzi",,"France,Belgique",Français,Long-métrage,2020,-,"3,2","3,4",22 articles de presse,,"Luc est un chanteur lyrique renommé. En pleine crise personnelle, il accepte d’animer un atelier de chant dans un centre de détention pour femmes. Il se trouve vite confronté aux tempéraments difficiles des détenues. Entre bonne conscience et quête personnelle, Luc va alors tenter d’offrir à ces femmes un semblant de liberté.",25 250
La Voie de la justice,29/01/2020,Drame,137.0,Destin Daniel Cretton, Warner Bros. France ,"Michael B. Jordan,Jamie Foxx,Brie Larson",Just Mercy,,Anglais,Long-métrage,2020,-,"3,0","4,1",18 articles de presse,,"Le combat historique du jeune avocat Bryan Stevenson.  Après ses études à l’université de Harvard, Bryan Stevenson aurait pu se lancer dans une carrière des plus lucratives. Il décide pourtant de se rendre en Alabama pour défendre ceux qui ont été condamnés à tort, avec le soutien d’une militante locale, Eva Ansley. Un de ses premiers cas - le plus incendiaire - est celui de Walter McMillian qui, en 1987, est condamné à mort pour le meurtre retentissant d’une jeune fille de 18 ans. Et ce en dépit d’un grand nombre de preuves attestant de son innocence et d’un unique témoignage à son encontre provenant d’un criminel aux motivations douteuses. Au fil des années, Bryan se retrouve empêtré dans un imbroglio de manœuvres juridiques et politiques. Il doit aussi faire face à un racisme manifeste et intransigeant alors qu’il se bat pour Walter et d’autres comme lui au sein d’un système hostile.",113 153
The Power,16/02/2022,Fantastique,92.0,Corinna Faith, Alba Films ,"Rose Williams,Emma Rigby,Charlie Carrick",,,Anglais,Long-métrage,2020,-,"3,1","2,0",17 articles de presse,,"Londres, 1974. Alors que le Royaume-Uni se prépare à d’importantes coupures d’électricité, Val une infirmière débutante arrive pour son premier jour au sein de l’équipe de nuit d’un hôpital délabré. La majorité des patients et du personnel ayant été évacués vers un autre hôpital, elle se retrouve presque seule dans ce bâtiment lugubre. Mais derrière ses murs se cache un lourd secret qui va contraindre Val à affronter ses peurs les plus profondes et à se confronter à une force maléfique.",17 761
Nos plus belles années,29/12/2021,"Drame,Comédie",135.0,Gabriele Muccino, ARP Sélection ,"Pierfrancesco Favino,Micaela Ramazzotti,Kim Rossi Stuart",Gli anni più belli,,Italien,Long-métrage,2020,-,"3,1","3,5",15 articles de presse,,"C’est l’histoire de quatre amis, racontée sur quarante ans, en Italie, des années 1980 à aujourd’hui. La chronique de leurs espoirs, de leurs désillusions, de leurs amours, et surtout, de leur amitié.",21 010
