titre,date,genre,duree,realisateur,distributeur,acteurs,nationalites,langue_d_origine,type_film,annee_production,nombre_article,description,film_id,image
Oppenheimer,19/07/2023,Biopic_Historique_Thriller,181,Christopher Nolan,Universal Pictures International France,"Cillian Murphy,Emily Blunt,Matt Damon",U.S.A.,Anglais,Long-métrage,2023,30,"En 1942, convaincus que l’Allemagne nazie est en train de développer une arme nucléaire, les États-Unis initient, dans le plus grand secret, le ""Projet Manhattan"" destiné à mettre au point la première bombe atomique de l’histoire. Pour piloter ce dispositif, le gouvernement engage J. Robert Oppenheimer, brillant physicien, qui sera bientôt surnommé ""le père de la bombe atomique"". C’est dans le laboratoire ultra-secret de Los Alamos, au cœur du désert du Nouveau-Mexique, que le scientifique et son équipe mettent au point une arme révolutionnaire dont les conséquences, vertigineuses, continuent de peser sur le monde actuel…",,https://fr.web.img3.acsta.net/c_310_420/pictures/23/05/26/16/52/2793170.jpg
Les Algues vertes,12/07/2023,Drame_Thriller,107,Pierre Jolivet,Haut et Court,"Céline Sallette,Nina Meurisse,Julie Ferrier",France,Français,Long-métrage,2023,23,"À la suite de morts suspectes, Inès Léraud, jeune journaliste, décide de s’installer en Bretagne pour enquêter sur le phénomène des algues vertes. À travers ses rencontres, elle découvre la fabrique du silence qui entoure ce désastre écologique et social. Face aux pressions, parviendra-t-elle à faire triompher la vérité ?",,https://fr.web.img4.acsta.net/c_310_420/pictures/23/05/04/16/18/1042025.jpg
Une nuit,05/07/2023,Drame_Romance,90,Alex Lutz,StudioCanal,"Alex Lutz,Karin Viard,Jérôme Pouly",France,Français,Long-métrage,2023,21,,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/05/24/13/48/0544940.jpg
Miraculous - le film,05/07/2023,Action_Animation_Aventure_Comédie musicale,99,Jeremy Zag,SND,"Anouck Hautbois,Benjamin Bollen,Antoine Tomé",France,Français,Long-métrage,2023,405,"La super-héroïne, qui a conquis le cœur de millions de fans à travers le monde, débarque pour la première fois au cinéma ! Ladybug va devoir unir ses forces avec Chat Noir, le charismatique justicier masqué qui n’a pas sa langue dans sa poche, pour affronter le Papillon et sa horde de super-vilains, alors que ceux-ci menacent de détruire Paris. Mais, alors que les deux héros se rapprochent, Marinette ignore que derrière son mystérieux complice se cache Adrien, le camarade de classe dont elle est amoureuse…",,https://fr.web.img3.acsta.net/c_310_420/pictures/23/04/03/15/05/1583867.jpg
Spider-Man : Across The Spider-Verse,31/05/2023,Action_Animation_Aventure_Fantastique,141,Joaquim Dos Santos,Sony Pictures Releasing France,"Stéphane Bak,Shameik Moore,Shirine Boutella",U.S.A.,Anglais,Long-métrage,2023,593,"Après avoir retrouvé Gwen Stacy, Spider-Man, le sympathique héros originaire de Brooklyn, est catapulté à travers le Multivers, où il rencontre une équipe de Spider-Héros chargée d'en protéger l'existence. Mais lorsque les héros s'opposent sur la façon de gérer une nouvelle menace, Miles se retrouve confronté à eux et doit redéfinir ce que signifie être un héros afin de sauver les personnes qu'il aime le plus.",,https://fr.web.img6.acsta.net/c_310_420/pictures/23/05/11/10/00/1986933.jpg
Les Herbes sèches,12/07/2023,Drame,197,Nuri Bilge Ceylan,Memento Distribution,"Deniz Celiloğlu,Merve Dizdar,Musab Ekici",Turquie,Turc,Long-métrage,2023,29,,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/06/01/09/22/0157298.jpg
The First Slam Dunk,26/07/2023,Animation_Comédie_Drame,124,Takehiko Inoue,Wild Bunch Distribution,"Shugo Nakamura,Ryota Iwasaki,Subaru Kimura",Japon,Japonais,Long-métrage,2022,36,"Le meneur de jeu de Shohoku, Ryota Miyagi, joue toujours intelligemment et à la vitesse de l'éclair, contournant ses adversaires tout en gardant son sang-froid. Né et élevé à Okinawa, Ryota avait un frère aîné de trois ans de plus. Sur les traces de ce dernier, joueur local célèbre dès son plus jeune âge, Ryota est également devenu accro au basket. En deuxième année de lycée, Ryota fait partie de l'équipe de basket-ball du lycée Shohoku, aux côtés de Sakuragi, Rukawa, Akagi et Mitsui, et participe au championnat national inter-lycées. À présent, ils sont sur le point de se mesurer aux champions en titre, les joueurs du lycée Sannoh Kogyo.",,https://fr.web.img6.acsta.net/c_310_420/pictures/23/04/18/18/46/1142239.jpg
Rendez-vous à Tokyo,26/07/2023,Drame_Romance,115,Daigo Matsui,Art House,"Sosuke Ikematsu,Sairi Itô,Yumi Kawai",Japon,Japonais,Long-métrage,2021,18,"Les 26 juillet se suivent et ne se ressemblent pas… C’est le jour où ils se sont rencontrés, celui où ils se sont aimés, où ils se sont séparés. Sept rendez-vous entre un danseur professionnel et une conductrice de taxi dans le Tokyo d’aujourd’hui.",,https://fr.web.img2.acsta.net/c_310_420/pictures/23/05/25/09/11/4629362.jpg
Le Manoir hanté,26/07/2023,Aventure_Comédie_Famille_Fantastique,122,Justin Simien,The Walt Disney Company France,"Rosario Dawson,Lakeith Stanfield,Tiffany Haddish",U.S.A.,Anglais,Long-métrage,2023,17,"Inspiré de l’attraction mythique des parcs Disneyland, LE MANOIR HANTÉ raconte l’histoire d’une mère et son fils qui engagent une équipe de pseudo-experts pour les aider à chasser les différents spectres et fantômes qui hantent leur maison.",,https://fr.web.img3.acsta.net/c_310_420/pictures/23/05/17/14/45/5710121.jpg
Indiana Jones et le Cadran de la Destinée,28/06/2023,Action_Aventure,154,James Mangold,The Walt Disney Company France,"Harrison Ford,Phoebe Waller-Bridge,Mads Mikkelsen",U.S.A.,Anglais,Long-métrage,2023,39,,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/06/07/14/33/5787419.jpg
Élémentaire,21/06/2023,Animation_Comédie_Famille,102,Peter Sohn,The Walt Disney Company France,"Adèle Exarchopoulos,Leah Lewis,Vincent Lacoste",U.S.A.,Anglais,Long-métrage,2023,324,"Dans la ville d’Element City, le feu, l’eau, la terre et l’air vivent dans la plus parfaite harmonie. C’est ici que résident Flam, une jeune femme intrépide et vive d’esprit, au caractère bien trempé, et Flack, un garçon sentimental et amusant, plutôt suiveur dans l’âme. L’amitié qu’ils se portent remet en question les croyances de Flam sur le monde dans lequel ils vivent...",,https://fr.web.img3.acsta.net/c_310_420/o_club-allocine-310x420.png_0_se/pictures/23/06/07/14/09/5709179.jpg
Barbie,19/07/2023,Aventure_Comédie_Famille,115,Greta Gerwig,Warner Bros. France,"Margot Robbie,Ryan Gosling,America Ferrera",U.S.A.,Anglais,Long-métrage,2023,28,"A Barbie Land, vous êtes un être parfait dans un monde parfait. Sauf si vous êtes en crise existentielle, ou si vous êtes Ken.",,https://fr.web.img2.acsta.net/c_310_420/pictures/23/06/16/12/04/4590179.jpg
Mission: Impossible – Dead Reckoning Partie 1,12/07/2023,Action_Aventure_Espionnage,163,Christopher McQuarrie,Paramount Pictures France,"Tom Cruise,Hayley Atwell,Ving Rhames",U.S.A.,Anglais,Long-métrage,2023,34,"Dans Mission: Impossible - Dead Reckoning Partie 1, Ethan Hunt et son équipe de l’IMF se lancent dans leur mission la plus périlleuse à ce jour : traquer une effroyable nouvelle arme avant que celle-ci ne tombe entre de mauvaises mains et menace l’humanité entière.",,https://fr.web.img4.acsta.net/c_310_420/pictures/23/06/16/09/11/1574235.jpg
La Main,26/07/2023,Epouvante-horreur_Thriller,94,Danny Philippou,SND,"Sophie Wilde,Joe Bird,Alexandra Jensen",Australie,Anglais,Long-métrage,2023,20,"Lorsqu'un groupe d'amis découvre comment conjurer les esprits à l'aide d'une mystérieuse main hantée, ils deviennent accros à ce nouveau frisson, et l’expérience fait le tour des réseaux sociaux. Une seule règle à respecter : ils ne doivent pas tenir la main plus de 90 secondes. Lorsque l’un d’entre eux l’enfreint, ils vont être rattrapés par les esprits, les obligeant à choisir : à qui se fier, aux morts ou aux vivants ?",,https://fr.web.img6.acsta.net/c_310_420/pictures/23/06/16/12/08/4453176.jpg
