titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description
Ailleurs si j'y suis,29/03/2023,,103,François Pirot, UFO Distribution ,"Jérémie Renier,Suzanne Clément,Jean-Luc Bideau",,"Belgique,Luxembourg,Suisse,France",Français,Long-métrage,2022,-,"3,1","2,9",16 articles de presse,,"Alors que sa famille et son métier le mettent sous pression, Mathieu, sur un coup de tête, s’enfonce dans la forêt devant chez lui. Et y reste. Face à cette démonstration de liberté, ses proches s’interrogent… Sur lui, sur eux-mêmes, sur le sens de leur vie… Et s’il avait raison ?"
Plus que jamais,16/11/2022,,123,Emily Atef, Jour2fête ,"Vicky Krieps,Gaspard Ulliel,Bjorn Floberg",,"France,Allemagne,Luxembourg,Norvège","Français, Anglais, Norvégien",Long-métrage,2022,5 M€,"3,7","3,6",26 articles de presse,6 nominations,"Hélène et Mathieu sont heureux ensemble depuis de nombreuses années. Le lien qui les unit est profond. Confrontée à une décision existentielle, Hélène part seule en Norvège pour chercher la paix et éprouver la force de leur amour."
Black Panther: Wakanda Forever,09/11/2022,"Aventure,Fantastique",162,Ryan Coogler, The Walt Disney Company France ,"Letitia Wright,Angela Bassett,Danai Gurira",,,Anglais,Long-métrage,2022,-,"2,9","3,1",33 articles de presse,2 prix et 6 nominations,"La Reine Ramonda, Shuri, M’Baku, Okoye et les Dora Milaje luttent pour protéger leur nation des ingérences d’autres puissances mondiales après la mort du roi T’Challa. Alors que le peuple s’efforce d’aller de l’avant, nos héros vont devoir s’unir et compter sur l’aide de la mercenaire Nakia et d’Everett Ross pour faire entrer le royaume du Wakanda dans une nouvelle ère. Mais une terrible menace surgit d’un royaume caché au plus profond des océans : Talokan."
Marinaleda,05/07/2023,Fantastique,51,Louis Seguin, Hippocampe Productions ,"François Rivière (II),Luc Chessel,Pauline Belle",,,Français,Long-métrage,2022,-,"3,3","2,7",4 articles de presse,,"Juillet. Sastefanus et Kyrie font du stop sur les routes de Corrèze. Leur objectif : rejoindre Marinaleda, un village autogéré au cœur de l’Andalousie. Ils n’avancent pas beaucoup... jusqu’à ce que Lise les accueille dans sa voiture. Mais sont-ils vraiment de simples auto-stoppeurs ?"
Le Lycéen,30/11/2022,,123,Christophe Honoré, Memento Distribution ,"Paul Kircher,Vincent Lacoste,Juliette Binoche",,,Français,Long-métrage,2022,-,"3,7","3,6",34 articles de presse,3 nominations,"Lucas a 17 ans quand soudain son adolescence vole en éclats. Avec l’aide de son frère, monté à Paris, et de sa mère, avec qui il vit désormais seul, il va devoir lutter pour apprendre à espérer et aimer de nouveau."
Les Cyclades,11/01/2023,,110,Marc Fitoussi, Memento Distribution ,"Laure Calamy,Olivia Côte,Kristin Scott Thomas",,"France,Belgique,Grèce","Français, Grec",Long-métrage,2022,"5,5 M€","3,1","3,3",26 articles de presse,,"Adolescentes, Blandine et Magalie étaient inséparables. Les années ont passé et elles se sont perdues de vue. Alors que leurs chemins se croisent de nouveau, elles décident de faire ensemble le voyage dont elles ont toujours rêvé. Direction la Grèce, son soleil, ses îles mais aussi ses galères car les deux anciennes meilleures amies ont désormais une approche très différente des vacances… et de la vie !"
Tempête,21/12/2022,"Famille,Drame,Comédie",111,Christian Duguay, Pathé ,"Mélanie Laurent,Pio Marmaï,Kacey Mottet Klein",,,Français,Long-métrage,2022,12 M€,"3,0","3,9",17 articles de presse,,"Née dans le haras de ses parents, Zoé a grandi au milieu des chevaux et n’a qu’un rêve : devenir jockey ! Tempête, une pouliche qu’elle voit naître, va devenir son alter ego. Mais un soir d'orage, Tempête, affolée, renverse Zoé et vient briser son rêve. Elle va pourtant s’accrocher et tenter l'impossible pour renouer avec son destin."
Les Banshees d'Inisherin,28/12/2022,Comédie,114,Martin McDonagh, The Walt Disney Company France ,"Colin Farrell,Brendan Gleeson,Kerry Condon",The Banshees Of Inisherin,"Irlande,U.S.A.",Anglais,Long-métrage,2022,-,"3,8","3,9",31 articles de presse,10 prix et 21 nominations,"Sur Inisherin - une île isolée au large de la côte ouest de l'Irlande - deux compères de toujours, Padraic et Colm, se retrouvent dans une impasse lorsque Colm décide du jour au lendemain de mettre fin à leur amitié. Abasourdi, Padraic n’accepte pas la situation et tente par tous les moyens de recoller les morceaux, avec le soutien de sa sœur Siobhan et de Dominic, un jeune insulaire un peu dérangé. Mais les efforts répétés de Padraic ne font que renforcer la détermination de son ancien ami et lorsque Colm finit par poser un ultimatum désespéré, les événements s’enveniment et vont avoir de terribles conséquences."
À contretemps,05/07/2023,,103,Juan Diego Botto, Condor Distribution ,"Penélope Cruz,Luis Tosar,Christian Checa",En los márgenes,"Espagne,Belgique",Espagnol,Long-métrage,2022,-,"3,6","3,5",17 articles de presse,2 nominations,"Avocat aux fortes convictions sociales, Rafa a jusqu’à minuit pour retrouver la mère d’une fillette laissée seule dans un logement insalubre. A défaut, la police placera la petite en foyer. Dans sa course contre la montre, Rafa croise la route d’Azucena, une femme injustement menacée d’expulsion, et qui pour s’en sortir, tente de provoquer une révolte citoyenne. Alors que les heures défilent implacablement pour ces deux âmes en lutte, Madrid devient le lieu de toutes les colères.."
Les Bad Guys,06/04/2022,"Comédie,Aventure,Famille",100,Pierre Perifel, Universal Pictures International France ,"Pierre Niney,Sam Rockwell,Igor Gotesman",The Bad Guys,,Anglais,Long-métrage,2022,-,"3,6","3,9",150 Critiques Spectateurs,,"LES BAD GUYS, la nouvelle comédie d’aventures de Dreamworks Animations, inspirée par la série éponyme de livres pour enfants à succès, met en scène une bande d’animaux, redoutables criminels de haut vol, qui sont sur le point de commettre leur méfait le plus éclatant : devenir des citoyens respectables."
Mad Heidi,,"Comédie,Action,Aventure",93,Johannes Hartmann,"
1 nomination
","Alice Lucy,Max Rudlinger,Casper Van Dien",,,"Anglais, Suisse allemand",Long-métrage,2022,-,"2,3",,34 Critiques Spectateurs,,Heidi est de retour… pour se venger. La petite fille des Alpes devenue adulte part en croisade dans une Suisse totalitaire contre un magnat du fromage mégalo.
Le Parfum vert,21/12/2022,Policier,101,Nicolas Pariser, Diaphana Distribution ,"Sandrine Kiberlain,Vincent Lacoste,Rüdiger Vogler",,,Français,Long-métrage,2022,7 M€,"3,5","2,3",32 articles de presse,,"En pleine représentation, un comédien de la Comédie-Française est assassiné par empoisonnement. Martin, membre de la troupe témoin direct de cet assassinat, est bientôt soupçonné par la police et pourchassé par la mystérieuse organisation qui a commandité le meurtre. Aidé par une dessinatrice de bandes dessinées, Claire, il cherchera à élucider ce mystère au cours d'un voyage très mouvementé en Europe."
Le Retour des hirondelles,08/02/2023,,133,Li Ruijun, ARP Sélection ,"Wu Renlin, Hai-Qing",Yin Ru Chen Yan,,Chinois,Long-métrage,2022,-,"4,1","4,2",24 articles de presse,9 nominations,"C’est l’histoire d’un mariage arrangé, entre deux êtres méprisés par leurs familles. Entre eux, la timidité fait place à l’affection. Autour d’eux, la vie rurale se désagrège…"
Une belle course,21/09/2022,"Drame,Comédie",91,Christian Carion, Pathé ,"Line Renaud,Dany Boon,Alice Isaaz",,,Français,Long-métrage,2022,"7,94 M€","3,1","3,9",16 articles de presse,,"Madeleine, 92 ans, appelle un taxi pour rejoindre la maison de retraite où elle doit vivre désormais. Elle demande à Charles, un chauffeur un peu désabusé, de passer par les lieux qui ont compté dans sa vie, pour les revoir une dernière fois. Peu à peu, au détour des rues de Paris, surgit un passé hors du commun qui bouleverse Charles. Il y a des voyages en taxi qui peuvent changer une vie…"
