titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description
L'Impasse,23/03/1994,"Drame,Thriller",143,Brian De Palma, Ciné Sorbonne ,"Al Pacino,Sean Penn,Penelope Ann Miller",Carlito's Way,,Anglais,Long-métrage,1993,30 000 000 $,"4,8","4,3",4 articles de presse,2 nominations,"New-York, 1975. Libéré après 5 années de prison grâce à son avocat véreux, Carlito Brigante, ancienne figure du milieu, rentre chez lui dans le quartier espagnol de Harlem. Il souhaite se réinsérer dans la vie et monter aux Bahamas une affaire honnête avec la femme de sa vie. Mais son passé le rattrape, et ce qui a fait de lui un caïd autrefois risque bien de lui coûter la vie aujourd'hui..."
Heat,21/02/1996,Drame,170,Michael Mann, Park Circus France ,"Al Pacino,Robert De Niro,Val Kilmer",,,Anglais,Long-métrage,1995,US$60.000.000,"3,2","4,3",5 articles de presse,,"Neil McCauley est un braqueur qui a de l'expérience. Il veille, au cours de ses vols, à ne pas commettre d'impairs. Ses complices n'ont pas autant de scrupules ni de «conscience professionnelle». Lors d'une opération pourtant bien planifiée, l'un d'entre eux tire sur deux vigiles. Ce double meurtre intéresse au plus au point le lieutenant Hanna, qui ne met guère de temps à identifier McCauley comme étant le cerveau de la bande. Les deux hommes apprennent à se connaître par dossier et surveillance interposée. A tel point qu'il finissent par se rencontrer. Chacun jure alors de mettre l'autre en échec. Un duel s'engage, à la limite de la légalité. Robert De Niro et Al Pacino, deux monstres du cinéma, se livrent à un numéro d'anthologie."
L'Accusé,11/08/2017,Thriller,110,Oriol Paulo,,"Mario Casas,Bárbara Lennie,Ana Wagener",Contratiempo,,Espagnol,Long-métrage,2016,5.000.000$,"4,3",,222 Critiques Spectateurs,,"Après s’être réveillé à côté du corps sans vie de sa petite amie à l’hôtel, un homme d’affaires engage une grande avocate pour comprendre ce qui s’est passé."
Et pour quelques dollars de plus,30/09/1966,,130,Sergio Leone, Carlotta Films ,"Clint Eastwood,Lee Van Cleef,Gian Maria Volontè",Per qualche dollari di piu,"Espagne,Allemagne de l'Ouest,Italie","Italien, Anglais",Long-métrage,1965,600 000 $,"3,7","4,3",6 articles de presse,,""" L'indien "", bandit cruel et fou, s'est évadé de prison. Il se prépare à attaquer la banque d'El Paso, la mieux gardée de tout l'Ouest, avec une quinzaine d'autres malfaiteurs. Le "" Manchot "" et le Colonel Douglas Mortimer, deux chasseurs de primes concurrents, décident, après une confrontation tendue, de faire finalement équipe pour arrêter les bandits. Mais leurs motivations ne sont pas forcément les mêmes..."
Voyage à Tokyo,08/02/1978,,136,Yasujirô Ozu, Carlotta Films ,"Chishû Ryû,Chieko Higashiyama,Setsuko Hara",Tôkyô monogatari,,"Japonais, Anglais",Long-métrage,1953,-,"4,8","4,3",8 articles de presse,3 nominations,"Un couple âgé entreprend un voyage pour rendre visite à ses enfants. D’abord accueillis avec les égards qui leur sont dus, les parents s’avèrent bientôt dérangeants. Seule Noriko, la veuve de leur fils mort à la guerre, semble réellement contente de les voir et trouve du temps à leur consacrer. Les enfants, quant à eux, se cotisent pour leur offrir un séjour dans la station thermale d’Atami, loin de Tokyo…"
Scarface,07/03/1984,Drame,165,Brian De Palma, Splendor Films ,"Al Pacino,Michelle Pfeiffer,Steven Bauer",,,"Anglais, Espagnol",Long-métrage,1983,25 000 000 $,"3,9","4,3",8 articles de presse,4 nominations,
Taxi Driver,02/06/1976,,115,Martin Scorsese, Park Circus France ,"Robert De Niro,Jodie Foster,Harvey Keitel",,,"Anglais, Espagnol",Long-métrage,1976,1 300 000 $,"4,8","4,3",8 articles de presse,1 prix et 14 nominations,
L'Armée des Ombres,12/09/1969,Guerre,140,Jean-Pierre Melville, Dulac Distribution ,"Lino Ventura,Simone Signoret,Paul Crauchet",,"France,Italie",Français,Long-métrage,1969,-,"4,5","4,3",2 articles de presse,,"France 1942. Gerbier, ingénieur des Ponts et Chaussées est également l'un des chefs de la Résistance. Dénoncé et capturé, il est incarcéré dans un camp de prisonniers. Alors qu'il prépare son évasion, il est récupéré par la Gestapo..."
Boulevard du crépuscule,18/04/1951,Romance,110,Billy Wilder, Splendor Films ,"William Holden,Gloria Swanson,Erich Von Stroheim",Sunset Blvd.,,Anglais,Long-métrage,1950,1 752 000 $,"4,4","4,3",9 articles de presse,7 prix et 11 nominations,"Norma Desmond, grande actrice du muet, vit recluse dans sa luxueuse villa de Berverly Hills en compagnie de Max von Meyerling, son majordome qui fut aussi son metteur en scène et mari. Joe Gillis, un scénariste sans le sou, pénètre par hasard dans la propriété et Norma lui propose de travailler au scénario du film qui marquera son retour à l'écran,"
Le Château ambulant,12/01/2005,"Aventure,Fantastique",119,Hayao Miyazaki, Buena Vista International ,"Chieko Baishô,Takuya Kimura,Akihiro Miwa",Hauru no ugoku shiro,,Japonais,Long-métrage,2004,"¥2,4 bilhões","4,3","4,3",817 Critiques Spectateurs,5 nominations,"La jeune Sophie, 18 ans, travaille inlassablement dans la chapellerie autrefois tenue par son père, malheureusement décédé. Résignée à son sort, c’est lors de l’une de ses rares sorties en ville qu’elle fait la connaissance du beau Hauru, un magicien. Mais la sorcière des Landes, jalouse de cette rencontre, jette un sort à Sophie, la transformant en vieille dame. Accablée par sa nouvelle apparence, Sophie s’enfuit dans les montagnes et tombe sur la demeure de Hauru : son Château Ambulant. Et si tout ceci n’était que le commencement d’une merveilleuse histoire ?"
