title,boxoffice
Normale,12 196
La Guerre des Lulus,200 047
Divertimento,80 541
L'Envol,14 978
Tu choisiras la vie,12 629
À contretemps,28 720
Doctor Strange in the Multiverse of Madness,1 438 287
RRR,9 500 000
Interdit aux chiens et aux Italiens,41 957
Caravage,95 358
Stars At Noon,13 094
Neneh Superstar,41 397
Dragon Ball Super: Super Hero,218 070
Falcon Lake,12 118
Top Gun: Maverick,1 529 608
Close,19 030
Le Clan,101 291
Armageddon Time,155 547
Don't Worry Darling,151 272
Une femme de notre temps,13 090
Mort sur le Nil,336 133
Jacky Caillou,5 927
Operation Fortune: Ruse De Guerre,3 140 214
Toi non plus tu n'as rien vu,4 869
Petites,12 466
Incroyable mais vrai,133 330
Jack Mimoun et les secrets de Val Verde,257 163
Le Bleu du Caftan,54 381
Emily,47 695
Les Nuits de Mashhad,30 009
L'Origine du mal,56 107
Novembre,592 681
L'Année du requin,79 534
Les Bad Guys,259 472
Le Pire voisin au monde,67 470
Pacifiction - Tourment sur les îles,19 015
L'Éducation d'Ademoka,1 110
Le Cours de la vie,38 549
Ticket To Paradise,176 153
Mon héroïne,59 453
Terrifier 2,34 089
R.M.N.,26 797
La Petite Bande,45 538
Voyages en Italie,16 693
Père Stu : un héros pas comme les autres,5 700 000
Godland,35 205
Avec amour et acharnement,73 581
Notre-Dame brûle,388 293
Nos frangins,37 490
Halloween Ends,187 689
She Said,58 007
Titina,7 248
"Arthur, malédiction",121 393
Vous n'aurez pas ma haine,9 010
Ailleurs si j'y suis,10 680
Houria,47 403
L'Innocent,192 906
M3GAN,218 120
Bullet Train,491 067
Cet été-là,45 250
L'Odeur du vent,8 528
Le Chat Potté 2 : la dernière quête,502 167
Glass Onion : une histoire à couteaux tirés,9 400 000
Le Lycéen,40 106
En corps,332 971
Corsage,35 145
Elle s'appelle Barbara,298
Coupez !,100 526
Rodéo,22 033
Le Secret de la cité perdue,317 713
Tant que le soleil frappe,5 849
As bestas,74 066
Juste ciel !,61 457
Nope,224 705
The Whale,65 064
Everything Everywhere All at Once,132 121
The Quiet Girl,31 800
The Son,102 272
Goutte d'or,27 639
Tinnitus,174
Aftersun,38 094
Assaut,1 204
Joyland,32 996
Les Amandiers,104 057
La Nuit du 12,96 667
Fall,2 512 145
Whitney Houston : I Wanna Dance With Somebody,64 834
Apaches,33 659
Jurassic World: Le Monde d'après,1 299 065
La Dernière reine,21 049
Kompromat,205 447
Le Marchand de sable,10 913
La Grande magie,47 867
The Fabelmans,367 332
Sick Of Myself,14 638
Un talent en or massif,57 763
Le Monde d'après,283
Astrakan,3 109
Le Menu,124 279
Coup de théâtre,56 893
La Syndicaliste,192 422
Empire Of Light,107 051
Les Bonnes étoiles,64 763
Suzume,181 032
Leila et ses frères,41 242
Tirailleurs,456 751
Babylon,508 796
X - Le film,31 224
Zillion,278
Plancha,271 193
Ambulance,142 412
Le Serment de Pamfir,17 829
Saint Omer,39 560
"Chonchon, le plus mignon des cochons",6 286
Sans filtre,179 786
Les Volets verts,150 419
EO,47 210
Les Pires,18 915
Un petit frère,18 993
Maurice le chat fabuleux,56 867
L'Immensita,91 906
Trois nuits par semaine,15 360
L’Anniversaire de Tommy,9 205
Grosse colère et fantaisies,17 473
"Ashkal, l'enquête de Tunis",12 336
Bones and All,38 761
À mon seul désir,9 758
Sonic 2 le film,749 372
Désordres,3 609
Le Parfum vert,80 190
Projet Wolf Hunting,8 055
Fumer fait tousser,87 446
La Page blanche,56 502
Le Nouveau Jouet,271 139
La Nuit du verre d’eau,12 657
Avatar : la voie de l'eau,2 739 848
Vivre,37 725
Downton Abbey II : Une nouvelle ère,181 353
Le Processus de paix,34 918
Il Boemo,34 803
SISU - De l'Or et du Sang,44 625
Master Gardener,20 443
Rheingold,11 672
La Sirène,3 933
Love Life,34 071
Memory,3 100 000
Le Sixième enfant,40 807
Trenque Lauquen - Partie 1,3 847
Goodbye,5 279
Retour à Séoul,44 535
Unicorn Wars,5 340
Le Nid du Tigre,9 487
"Extra : Allan, Britney et le vaisseau spatial",21 988
La Passagère,35 850
La Dégustation,110 323
16 ans,41 119
Morbius,403 848
Les Rascals,22 510
Les Miens,98 004
Les Cadors,51 550
Les Animaux Fantastiques : les Secrets de Dumbledore,1 132 062
Bowling Saturne,7 643
La Femme de Tchaïkovski,79 463
"Avalonia, l'étrange voyage",12 151 384
Marlowe,54 242
Le Petit Nicolas - Qu’est-ce qu’on attend pour être heureux ?,75 050
Trois Mille ans à t’attendre,95 617
Decision To Leave,103 303
L'École est à nous,117 941
Les Survivants,38 064
La Conférence,33 680
Amsterdam,24 277
Blacklight,83 546
About Kim Sohee,29 840
Frère et soeur,73 784
Jumeaux mais pas trop,210 444
Vesper Chronicles,76 366
Maison de Retraite,663 787
Barbare,10 543 948
La Maison,18 262
Jujutsu Kaisen 0,347 583
Le Retour des hirondelles,24 402
Presque,151 276
The Woman King,100 875
Esther 2 : Les Origines,140 678
Buzz l'éclair,482 715
Mr. Malcolm's List,851 853
La Sorcière et le martien,45
Nostalgia,66 577
La Conspiration du Caire,153 906
Le Torrent,153 920
Un couple,1 251
Showing Up,33 136
The Northman,137 676
Chronique d'une liaison passagère,119 790
Un petit Miracle,61 510
Thor: Love And Thunder,1 150 926
Menteur,242 165
Irréductible,1 550
Les Enfants des autres,142 402
Blue Jean,12 376
Les Cinq Diables,32 452
Tempête,227 057
One Piece Film - Red,575 182
Scream,212 555
Les Crimes du Futur,52 886
Youssef Salem a du succès,72 216
War Pony,13 057
Uncharted,955 650
Elvis,343 596
Ténor,126 348
Sous les figues,16 527
Les Huit Montagnes,29 347
Règle 34,513
Couleurs de l'incendie,302 030
Black Panther: Wakanda Forever,1 692 183
Grand marin,9 462
Tár,98 869
Les Banshees d'Inisherin,99 482
Moonfall,207 212
Les Cyclades,170 382
Marinaleda,209
Plus que jamais,21 203
Tout le monde aime Jeanne,63 691
Smile,226 686
Le Tourbillon de la vie,64 039
Annie Colère,68 373
Revoir Paris,142 841
Là où chantent les écrevisses,110 381
La Montagne,39 384
Vaincre ou mourir,23 152
L'Astronaute,35 020
The Batman,1 165 588
Burning Days,45 633
Black Adam,713 308
"Simone, le voyage du siècle",486 242
Reste un peu,152 695
Maestro(s),111 837
Un beau matin,35 039
Joyeuse retraite 2,155 491
Enzo le Croco,132 431
L'Homme parfait,55 577
Ghost Therapy,1 371
En même temps,70 112
Fairytale,1 060
La Proie du diable,209 337
Hommes au bord de la crise de nerfs,102 659
L'Emprise du démon,85 068
Violent Night,88 083
Peter von Kant,42 675
Grand Paris,6 676
Une comédie romantique,10 405
Le Petit Piaf,65 637
Temps Mort,5 321
Krypto et les Super-Animaux,333 361
"Un an, une nuit",6 373
La Ligne,7 640
Rebel,17 454
Le Tigre et le Président,81 893
Dounia et la princesse d’Alep,15 477
Nos soleils,20 951
El Agua,7 432
Marry Me,64 399
Dog,15 135 000
Alma Viva,12 574
Pulse,18
Tori et Lokita,29 811
Inu-Oh,9 716
Animals,1 351
Noémie dit oui,6 039
Sauvée par Amour,3 710 000
Jours sauvages,183
Plan 75,162
Mourir à Ibiza (Un film en trois étés),925
Sparta,606
Les Vieux fourneaux 2 : bons pour l’asile,148 172
Detective Conan : La Fiancée de Shibuya,18 200
Coma,5 074
Infinite Storm,751 296
Don Juan,8 500
Les Engagés,19 609
"Kanun, la loi du sang",5 398
Ima,43 862
Aucun ours,28 234
Chevalier Noir,9 284
Le Royaume des étoiles,158 405
Men,37 421
The Outfit,1 510 000
L'Ile,346
Maria rêve,71 211
Méduse,1 847
99 Moons,1 170
Petaouchnok,49 948
Avant l’effondrement,11 869
En roue libre,36 624
Harka,9 053
Sword Art Online - Progressive - Scherzo of Deep Night,22 622
Les Harkis,18 899
La Naissance des oasis,5 529
Les Goûts et les couleurs,30 520
Chœur de Rockers,125 465
La Ruse,127 930
Ramona fait son cinéma,9 767
Trenque Lauquen - Partie 2,1 913
Fratè,36 400
Beast,116 929
La Maleta,16 793
Citoyen d'honneur,57 538
Les Femmes du square,105 828
Women Talking,17 688
Les Vedettes,179 006
Brillantes,14 143
Venez voir,7 112
Une belle course,180 034
La Cour des miracles,20 495
Mes rendez-vous avec Leo,23 381
Ernest et Célestine : le voyage en Charabie,171 967
Emmett Till,31 818
Devotion,5 902 803
The Eternal Daughter,17 362
Earwig,1 724
The King's Daughter,750 000
Chili 1976,21 613
Loup & Chien,974
Vengeance,1 750 000
jackass forever,23 500 000
Louise et la Légende du Serpent à Plumes,8 015
Radio Metronom,7 028
Vacances,3 438
Libre Garance !,5 754
Rifkin's Festival,39 643
I love Greece,10 645
Bros,11 110
Swing Rendez-vous,676
Hinterland,4 685
N'oublie pas les fleurs,3 096
Dodo,11 033
Brighton 4th,4 566
Un Varón,2 608
Fièvre Méditerranéenne,5 745
Au revoir le bonheur,7 757
Tout fout le camp,3 364
Firestarter,75 109
L'Homme le plus heureux du monde,4 762
Tengo sueños eléctricos,313
Hopper et le hamster des ténèbres,211 019
Du crépitement sous les néons,13 060
Domingo et la brume,1 446
La Dérive des continents (au sud),17 522
Marcel !,1 841
"La Romancière, le film et le heureux hasard",8 960
A propos de Joan,10 441
Music Hole,3 490
Los reyes del mundo,9 530
Jesus Revolution,15 802 615
Samouraï Academy,151 216
Rimini,503
Garçon Chiffon,10 155
L'Éden,2 876
Le Bal de l'Enfer,70 137
Le Secret des Perlims,15 551
Tad l'explorateur et la table d'émeraude,204 164
Inséparables,3 370
Tel Aviv – Beyrouth,7 188
Petite Fleur,15 757
Stella est amoureuse,16 789
Feu follet,8 026
Pompon Ours,24 494
Bodies Bodies Bodies,3 128 760
Juste une nuit,6 580
Maigret,260 011
Nayola,2 845
Heureux les fêlés,37
Des Feux dans la nuit,2 728
Orso,108
Seule : les dossiers Silvercloud,31
Dealer,1 137
Magdala,874
Un été comme ça,472
L'Etrange histoire du coupeur de bois,553
Le Tigre et l'enfant,364 216
Butterfly Vision,4 878
House Party,3 800 000
