titre,date,genre,duree,realisateur,distributeur,acteurs,nationalites,langue_d_origine,type_film,annee_production,nombre_article,recompenses,description,film_id_allocine
Yannick,02/08/2023,Comédie,67,Quentin Dupieux,Diaphana Distribution,"Raphaël Quenard,Blanche Gardin,Pio Marmaï",France,Français,Long-métrage,2023,25,,"En pleine représentation de la pièce « Le Cocu », un très mauvais boulevard, Yannick se lève et interrompt le spectacle pour reprendre la soirée en main...",315119
Suro,02/08/2023,Drame,116,Mikel Gurrea,Tamasa Distribution,"Vicky Luengo,Pol López,Ilyass El Ouahdani",Espagne,Catalan,Long-métrage,2022,6,,"Elena et Ivan s’apprêtent à entrer dans une nouvelle phase de leur vie. Ils quittent la métropole de Barcelone pour s’installer dans la campagne de Catalogne, où ils reprennent une plantation de chêne-liège. Le commerce du liège devra non seulement leur permettre d’assurer leur existence, mais ils comptent également exploiter la plantation de manière équitable et durable. Malgré leurs idéaux, Elena et Ivan doivent faire face à la dure réalité et se retrouveront bientôt dans une crise qui mettra non seulement en danger leur projet commun, mais aussi leur relation.",306291
Magic !,02/08/2023,Animation_Famille_Fantastique,75,Caroline Origer,KMBO,"Shérine Seyad,Jella Haase,Marie Braun",Luxembourg,Allemand,Long-métrage,2022,1,,"Il existe un monde magique où vivent de drôles de fées qui, la nuit venue, s’invitent déposer des cadeaux chez les humains. L’une d’elles, Violetta, un peu tête en l’air, se retrouve coincée sur Terre. Heureusement, elle rencontre Maxie, 10 ans : celle-ci fera tout pour aider Violetta à retourner chez elle. Le compte à rebours est lancé avant que la porte magique entre les deux mondes ne disparaisse !",271576
Détective Conan: le sous-marin noir,02/08/2023,Action_Animation_Aventure,110,Yuzuru Tachikawa,Eurozoom,"Ioanna Gkizas,Minami Takayama,Laëtitia Lienart",Japon,Japonais,Long-métrage,2023,6,,"Cette nouvelle aventure du célèbre détective se déroule en mer, près de l'île de Hachijô, Tokyo.",315755
Les Blagues de Toto 2 - classe verte,02/08/2023,Comédie,85,Pascal Bourdiaux,SND,"Hugo Trophardy,Guillaume De Tonquédec,Anne Marivin",France,Français,Long-métrage,2023,4,,"Toto et ses camarades sont de retour, direction la campagne pour une classe verte ! Mais, si pour les autres élèves, celle-ci est l’occasion de découvrir la vie à la ferme, pour Toto, c’est surtout l’opportunité parfaite pour inventer de nouvelles blagues et vivre de folles aventures. D’autant que les fermiers qui les accueillent ont l’air un peu louches, et qu’on raconte qu’un fantôme rode dans le coin… Toto compte bien mener l’enquête, et il a plus d’un tour dans son sac !",306731
The Wastetown,02/08/2023,Thriller,98,Ahmad Bahrami,Bodega Films,"Baran Kosari,Ali Bagheri",Iran,Farsi,Long-métrage,2022,8,,"Coupable du meurtre de son mari, Bermani est emprisonnée pendant 10 ans. Libérée, elle part à la recherche de son jeune fils et se rend à la casse automobile où travaille son beau-frère...",308236
Le Péril jeune,11/01/1995,Comédie_Drame_Romance,101,Cédric Klapisch,Les Acacias,"Romain Duris,Vincent Elbaz,Nicolas Koretzky",France,Français,Long-métrage,1994,5,,"Quelques jeunes hommes se retrouvent plusieurs années après avoir quitté le lycée. Ils assistent pendant son accouchement la compagne de leur meilleur ami, mort une semaine auparavant d'une overdose. C'est pour eux l'occasion de confronter leurs souvenirs.",9204
Yamabuki,02/08/2023,Drame,97,Yamasaki Juichiro,Survivance,"Kang Yoon-soo,Kilala Inori,Yohta Kawase",Japon,"Japonais, Français, Vietnamien",Long-métrage,2022,12,,"Maniwa, petite ville dans les montagnes de l'ouest du Japon. Chang-su, un ancien jockey olympique de l'équipe de Corée du Sud, criblé de dettes suite à la faillite de l'entreprise paternelle, travaille dans une carrière. Il vit avec Minami et sa fille en bas âge, qui a fui son mari et sa famille il y a sept ans. Pendant ce temps, Yamabuki, une lycéenne qui a perdu sa mère et vit avec son père policier, se met spontanément à manifester de manière silencieuse à un carrefour, en pensant à des causes par-delà l'océan. À leur insu, les vies de Chang-su, de Yamabuki et des autres habitants de la ville commencent doucement à s'entrecroiser.",300021
Les Tournesols sauvages,02/08/2023,Drame,106,Jaime Rosales,Condor Distribution,"Anna Castillo,Oriol Pla,Quim Ávila",Espagne,Espagnol,Long-métrage,2022,11,,"À Barcelone, Julia, 22 ans, élevant seule ses deux enfants, rêve de liberté et d'émancipation. Comme un tournesol suivant sans relâche la lumière, elle part chercher le soleil sous d'autres horizons. Lorsque le hasard remet sur son chemin deux hommes qu'elle a connu par le passé, la voilà confrontée à des émotions contraires.",290504
Le Grand chemin,25/03/1987,Drame,104,Jean-Loup Hubert,Mission,"Richard Bohringer, Anémone,Antoine Hubert",France,Français,Long-métrage,1987,126,,"Été 1959. Abandonnée par le père de ses enfants, Claire, enceinte, confie son fils aîné Louis à un couple d'amis Marcelle et Pelo. Le petit Parisien doit apprendre à se familiariser avec l'ambiance de la campagne et l'atmosphère étrange qu'il règne dans le foyer du couple qu'un lourd secret sépare depuis des années. L'arrivée du petit garçon sera pour eux un nouveau départ.",592
